gas_meter_id,object_type
7210,Residential object
7209,Residential object
7208,Residential object
7207,Residential object
7206,Residential object
7205,Commercial object
7204,Commercial object
7203,Commercial object
7202,Residential object
7201,Residential object
7200,Residential object
7199,Commercial object
7198,Commercial object
7197,Commercial object
7196,Commercial object
7195,Residential object
7194,Commercial object
7193,Residential object
7192,Residential object
7191,Commercial object
7190,Residential object
7189,Commercial object
7188,Commercial object
7187,Commercial object
7186,Commercial object
7185,Residential object
7184,Residential object
7183,Residential object
7182,Residential object
7181,Residential object
7180,Residential object
7179,Residential object
7178,Residential object
7177,Commercial object
7176,Residential object
7175,Residential object
7174,Residential object
7173,Commercial object
7172,Commercial object
7171,Commercial object
7170,Commercial object
7169,Commercial object
7168,Residential object
7167,Commercial object
7166,Residential object
7165,Commercial object
7164,Residential object
7163,Commercial object
7162,Residential object
7161,Residential object
7160,Commercial object
7159,Commercial object
7158,Residential object
7157,Commercial object
7156,Commercial object
7155,Commercial object
7154,Residential object
7153,Commercial object
7152,Residential object
7151,Commercial object
7150,Commercial object
7149,Commercial object
7148,Commercial object
7147,Residential object
7146,Residential object
7145,Residential object
7144,Residential object
7143,Residential object
7142,Commercial object
7141,Residential object
7140,Commercial object
7139,Residential object
7138,Commercial object
7137,Commercial object
7136,Commercial object
7135,Residential object
7134,Commercial object
7133,Commercial object
7132,Commercial object
7131,Commercial object
7130,Commercial object
7129,Commercial object
7128,Residential object
7127,Commercial object
7126,Residential object
7125,Commercial object
7124,Commercial object
7123,Residential object
7122,Residential object
7121,Commercial object
7120,Residential object
7119,Commercial object
7118,Residential object
7117,Residential object
7116,Commercial object
7115,Residential object
7114,Residential object
7113,Commercial object
7112,Residential object
7111,Residential object
7110,Residential object
7109,Residential object
7108,Residential object
7107,Commercial object
7106,Commercial object
7105,Commercial object
7104,Residential object
7103,Commercial object
7102,Commercial object
7101,Residential object
7100,Residential object
7099,Residential object
7098,Commercial object
7097,Residential object
7096,Residential object
7095,Commercial object
7094,Residential object
7093,Residential object
7092,Residential object
7091,Commercial object
7090,Commercial object
7089,Residential object
7088,Commercial object
7087,Residential object
7086,Residential object
7085,Commercial object
7084,Residential object
7083,Commercial object
7082,Residential object
7081,Residential object
7080,Residential object
7079,Commercial object
7078,Commercial object
7077,Residential object
7076,Residential object
7075,Commercial object
7074,Residential object
7073,Residential object
7072,Residential object
7071,Commercial object
7070,Residential object
7069,Commercial object
7068,Commercial object
7067,Residential object
7066,Residential object
7065,Commercial object
7064,Commercial object
7063,Commercial object
7062,Residential object
7061,Residential object
7060,Commercial object
7059,Commercial object
7058,Residential object
7057,Commercial object
7056,Residential object
7055,Residential object
7054,Residential object
7053,Commercial object
7052,Residential object
7051,Commercial object
7050,Residential object
7049,Commercial object
7048,Commercial object
7047,Commercial object
7046,Residential object
7045,Commercial object
7044,Residential object
7043,Residential object
7042,Commercial object
7041,Residential object
7040,Residential object
7039,Residential object
7038,Residential object
7037,Commercial object
7036,Commercial object
7035,Residential object
7034,Commercial object
7033,Commercial object
7032,Residential object
7031,Residential object
7030,Residential object
7029,Commercial object
7028,Commercial object
7027,Commercial object
7026,Residential object
7025,Residential object
7024,Residential object
7023,Residential object
7022,Residential object
7021,Residential object
7020,Commercial object
7019,Residential object
7018,Commercial object
7017,Commercial object
7016,Residential object
7015,Commercial object
7014,Residential object
7013,Commercial object
7012,Residential object
7011,Residential object
7010,Residential object
7009,Commercial object
7008,Commercial object
7007,Commercial object
7006,Residential object
7005,Residential object
7004,Residential object
7003,Commercial object
7002,Residential object
7001,Residential object
7000,Commercial object
6999,Commercial object
6998,Commercial object
6997,Commercial object
6996,Commercial object
6995,Residential object
6994,Residential object
6993,Residential object
6992,Residential object
6991,Commercial object
6990,Commercial object
6989,Residential object
6988,Commercial object
6987,Residential object
6986,Residential object
6985,Residential object
6984,Commercial object
6983,Commercial object
6982,Residential object
6981,Commercial object
6980,Commercial object
6979,Commercial object
6978,Residential object
6977,Residential object
6976,Commercial object
6975,Residential object
6974,Residential object
6973,Residential object
6972,Residential object
6971,Residential object
6970,Residential object
6969,Commercial object
6968,Commercial object
6967,Commercial object
6966,Commercial object
6965,Residential object
6964,Commercial object
6963,Commercial object
6962,Residential object
6961,Commercial object
6960,Commercial object
6959,Commercial object
6958,Residential object
6957,Commercial object
6956,Residential object
6955,Residential object
6954,Commercial object
6953,Residential object
6952,Commercial object
6951,Residential object
6950,Commercial object
6949,Commercial object
6948,Residential object
6947,Commercial object
6946,Residential object
6945,Commercial object
6944,Commercial object
6943,Residential object
6942,Commercial object
6941,Commercial object
6940,Residential object
6939,Commercial object
6938,Residential object
6937,Commercial object
6936,Commercial object
6935,Commercial object
6934,Residential object
6933,Commercial object
6932,Residential object
6931,Commercial object
6930,Residential object
6929,Residential object
6928,Residential object
6927,Residential object
6926,Commercial object
6925,Residential object
6924,Residential object
6923,Residential object
6922,Residential object
6921,Residential object
6920,Residential object
6919,Residential object
6918,Commercial object
6917,Commercial object
6916,Commercial object
6915,Commercial object
6914,Residential object
6913,Commercial object
6912,Commercial object
6911,Commercial object
6910,Residential object
6909,Commercial object
6908,Residential object
6907,Commercial object
6906,Residential object
6905,Residential object
6904,Commercial object
6903,Residential object
6902,Commercial object
6901,Commercial object
6900,Commercial object
6899,Commercial object
6898,Commercial object
6897,Residential object
6896,Commercial object
6895,Commercial object
6894,Commercial object
6893,Residential object
6892,Commercial object
6891,Residential object
6890,Residential object
6889,Commercial object
6888,Residential object
6887,Residential object
6886,Residential object
6885,Commercial object
6884,Commercial object
6883,Residential object
6882,Commercial object
6881,Commercial object
6880,Residential object
6879,Commercial object
6878,Commercial object
6877,Residential object
6876,Residential object
6875,Residential object
6874,Commercial object
6873,Residential object
6872,Commercial object
6871,Residential object
6870,Residential object
6869,Residential object
6868,Commercial object
6867,Commercial object
6866,Residential object
6865,Residential object
6864,Residential object
6863,Residential object
6862,Residential object
6861,Commercial object
6860,Residential object
6859,Residential object
6858,Residential object
6857,Residential object
6856,Residential object
6855,Commercial object
6854,Residential object
6853,Commercial object
6852,Residential object
6851,Residential object
6850,Residential object
6849,Commercial object
6848,Commercial object
6847,Residential object
6846,Residential object
6845,Residential object
6844,Residential object
6843,Residential object
6842,Commercial object
6841,Commercial object
6840,Commercial object
6839,Commercial object
6838,Residential object
6837,Commercial object
6836,Residential object
6835,Commercial object
6834,Commercial object
6833,Residential object
6832,Residential object
6831,Residential object
6830,Residential object
6829,Residential object
6828,Commercial object
6827,Residential object
6826,Residential object
6825,Residential object
6824,Commercial object
6823,Residential object
6822,Residential object
6821,Residential object
6820,Residential object
6819,Residential object
6818,Residential object
6817,Residential object
6816,Commercial object
6815,Commercial object
6814,Commercial object
6813,Residential object
6812,Commercial object
6811,Residential object
6810,Commercial object
6809,Commercial object
6808,Residential object
6807,Commercial object
6806,Residential object
6805,Residential object
6804,Commercial object
6803,Residential object
6802,Residential object
6801,Residential object
6800,Residential object
6799,Residential object
6798,Residential object
6797,Commercial object
6796,Commercial object
6795,Residential object
6794,Commercial object
6793,Residential object
6792,Residential object
6791,Residential object
6790,Residential object
6789,Residential object
6788,Commercial object
6787,Commercial object
6786,Residential object
6785,Residential object
6784,Commercial object
6783,Commercial object
6782,Residential object
6781,Commercial object
6780,Residential object
6779,Commercial object
6778,Commercial object
6777,Residential object
6776,Commercial object
6775,Commercial object
6774,Commercial object
6773,Residential object
6772,Commercial object
6771,Residential object
6770,Residential object
6769,Residential object
6768,Commercial object
6767,Commercial object
6766,Residential object
6765,Commercial object
6764,Residential object
6763,Residential object
6762,Commercial object
6761,Residential object
6760,Commercial object
6759,Residential object
6758,Commercial object
6757,Residential object
6756,Commercial object
6755,Residential object
6754,Commercial object
6753,Residential object
6752,Residential object
6751,Commercial object
6750,Residential object
6749,Residential object
6748,Residential object
6747,Commercial object
6746,Residential object
6745,Commercial object
6744,Residential object
6743,Residential object
6742,Commercial object
6741,Residential object
6740,Residential object
6739,Commercial object
6738,Commercial object
6737,Commercial object
6736,Residential object
6735,Commercial object
6734,Commercial object
6733,Residential object
6732,Commercial object
6731,Residential object
6730,Commercial object
6729,Commercial object
6728,Residential object
6727,Residential object
6726,Residential object
6725,Commercial object
6724,Residential object
6723,Residential object
6722,Residential object
6721,Commercial object
6720,Commercial object
6719,Residential object
6718,Residential object
6717,Commercial object
6716,Residential object
6715,Commercial object
6714,Commercial object
6713,Residential object
6712,Commercial object
6711,Commercial object
6710,Residential object
6709,Residential object
6708,Residential object
6707,Commercial object
6706,Commercial object
6705,Residential object
6704,Residential object
6703,Commercial object
6702,Residential object
6701,Commercial object
6700,Commercial object
6699,Residential object
6698,Commercial object
6697,Commercial object
6696,Residential object
6695,Residential object
6694,Commercial object
6693,Residential object
6692,Commercial object
6691,Commercial object
6690,Commercial object
6689,Residential object
6688,Commercial object
6687,Residential object
6686,Commercial object
6685,Residential object
6684,Commercial object
6683,Residential object
6682,Residential object
6681,Residential object
6680,Residential object
6679,Commercial object
6678,Residential object
6677,Commercial object
6676,Residential object
6675,Commercial object
6674,Commercial object
6673,Commercial object
6672,Commercial object
6671,Commercial object
6670,Commercial object
6669,Commercial object
6668,Residential object
6667,Commercial object
6666,Residential object
6665,Residential object
6664,Residential object
6663,Commercial object
6662,Commercial object
6661,Residential object
6660,Residential object
6659,Residential object
6658,Residential object
6657,Commercial object
6656,Commercial object
6655,Residential object
6654,Commercial object
6653,Residential object
6652,Residential object
6651,Residential object
6650,Commercial object
6649,Residential object
6648,Residential object
6647,Residential object
6646,Residential object
6645,Residential object
6644,Commercial object
6643,Commercial object
6642,Commercial object
6641,Residential object
6640,Residential object
6639,Residential object
6638,Commercial object
6637,Commercial object
6636,Commercial object
6635,Commercial object
6634,Residential object
6633,Residential object
6632,Commercial object
6631,Commercial object
6630,Residential object
6629,Commercial object
6628,Residential object
6627,Residential object
6626,Commercial object
6625,Residential object
6624,Residential object
6623,Commercial object
6622,Commercial object
6621,Commercial object
6620,Residential object
6619,Commercial object
6618,Commercial object
6617,Commercial object
6616,Commercial object
6615,Residential object
6614,Residential object
6613,Commercial object
6612,Commercial object
6611,Commercial object
6610,Commercial object
6609,Commercial object
6608,Commercial object
6607,Residential object
6606,Commercial object
6605,Residential object
6604,Commercial object
6603,Commercial object
6602,Residential object
6601,Commercial object
6600,Commercial object
6599,Residential object
6598,Commercial object
6597,Residential object
6596,Commercial object
6595,Residential object
6594,Commercial object
6593,Residential object
6592,Commercial object
6591,Residential object
6590,Commercial object
6589,Residential object
6588,Commercial object
6587,Commercial object
6586,Residential object
6585,Commercial object
6584,Commercial object
6583,Commercial object
6582,Residential object
6581,Residential object
6580,Residential object
6579,Commercial object
6578,Residential object
6577,Commercial object
6576,Residential object
6575,Commercial object
6574,Residential object
6573,Commercial object
6572,Commercial object
6571,Residential object
6570,Residential object
6569,Residential object
6568,Residential object
6567,Commercial object
6566,Commercial object
6565,Residential object
6564,Commercial object
6563,Residential object
6562,Residential object
6561,Commercial object
6560,Commercial object
6559,Commercial object
6558,Commercial object
6557,Residential object
6556,Residential object
6555,Residential object
6554,Commercial object
6553,Commercial object
6552,Residential object
6551,Commercial object
6550,Commercial object
6549,Commercial object
6548,Commercial object
6547,Commercial object
6546,Commercial object
6545,Residential object
6544,Residential object
6543,Residential object
6542,Residential object
6541,Commercial object
6540,Commercial object
6539,Residential object
6538,Residential object
6537,Commercial object
6536,Residential object
6535,Commercial object
6534,Commercial object
6533,Commercial object
6532,Residential object
6531,Residential object
6530,Residential object
6529,Commercial object
6528,Commercial object
6527,Commercial object
6526,Residential object
6525,Commercial object
6524,Residential object
6523,Residential object
6522,Commercial object
6521,Residential object
6520,Commercial object
6519,Commercial object
6518,Residential object
6517,Residential object
6516,Residential object
6515,Residential object
6514,Residential object
6513,Commercial object
6512,Commercial object
6511,Residential object
6510,Residential object
6509,Residential object
6508,Residential object
6507,Commercial object
6506,Commercial object
6505,Residential object
6504,Residential object
6503,Commercial object
6502,Commercial object
6501,Residential object
6500,Residential object
6499,Commercial object
6498,Residential object
6497,Residential object
6496,Residential object
6495,Commercial object
6494,Commercial object
6493,Commercial object
6492,Residential object
6491,Residential object
6490,Residential object
6489,Residential object
6488,Commercial object
6487,Commercial object
6486,Commercial object
6485,Commercial object
6484,Residential object
6483,Residential object
6482,Residential object
6481,Residential object
6480,Commercial object
6479,Commercial object
6478,Residential object
6477,Residential object
6476,Residential object
6475,Residential object
6474,Residential object
6473,Commercial object
6472,Residential object
6471,Residential object
6470,Commercial object
6469,Commercial object
6468,Residential object
6467,Commercial object
6466,Commercial object
6465,Residential object
6464,Residential object
6463,Commercial object
6462,Residential object
6461,Commercial object
6460,Commercial object
6459,Commercial object
6458,Residential object
6457,Commercial object
6456,Commercial object
6455,Commercial object
6454,Commercial object
6453,Residential object
6452,Residential object
6451,Residential object
6450,Commercial object
6449,Commercial object
6448,Commercial object
6447,Commercial object
6446,Residential object
6445,Residential object
6444,Residential object
6443,Residential object
6442,Commercial object
6441,Commercial object
6440,Residential object
6439,Commercial object
6438,Residential object
6437,Commercial object
6436,Commercial object
6435,Commercial object
6434,Residential object
6433,Residential object
6432,Commercial object
6431,Commercial object
6430,Residential object
6429,Commercial object
6428,Commercial object
6427,Commercial object
6426,Commercial object
6425,Residential object
6424,Residential object
6423,Commercial object
6422,Residential object
6421,Residential object
6420,Commercial object
6419,Commercial object
6418,Residential object
6417,Residential object
6416,Residential object
6415,Commercial object
6414,Residential object
6413,Commercial object
6412,Commercial object
6411,Commercial object
6410,Residential object
6409,Residential object
6408,Commercial object
6407,Commercial object
6406,Residential object
6405,Commercial object
6404,Commercial object
6403,Residential object
6402,Commercial object
6401,Residential object
6400,Commercial object
6399,Commercial object
6398,Residential object
6397,Commercial object
6396,Residential object
6395,Commercial object
6394,Residential object
6393,Residential object
6392,Commercial object
6391,Commercial object
6390,Residential object
6389,Residential object
6388,Commercial object
6387,Commercial object
6386,Commercial object
6385,Commercial object
6384,Residential object
6383,Residential object
6382,Commercial object
6381,Residential object
6380,Commercial object
6379,Commercial object
6378,Commercial object
6377,Residential object
6376,Commercial object
6375,Commercial object
6374,Residential object
6373,Residential object
6372,Commercial object
6371,Commercial object
6370,Commercial object
6369,Residential object
6368,Residential object
6367,Commercial object
6366,Commercial object
6365,Residential object
6364,Commercial object
6363,Residential object
6362,Commercial object
6361,Commercial object
6360,Residential object
6359,Residential object
6358,Commercial object
6357,Residential object
6356,Commercial object
