receipt_id,debt_amount,date_the_debt_began
4572,19372.6,1972-02-24
103,3591.2,1996-12-29
1236,15168.8,2014-05-17
7162,17567.2,1985-10-03
2062,3204.4,1999-06-25
2616,14154.3,2000-04-18
3555,6290.0,1994-12-03
2043,2360.8,2020-06-23
7339,14135.9,2014-10-03
7460,15293.3,1991-04-24
617,11743.5,1987-12-30
3678,19596.8,1988-08-28
601,1803.4,1991-06-26
6487,14471.1,1991-02-07
6504,15728.1,1986-07-15
4432,6309.2,2013-01-02
3878,15529.9,2000-03-22
7336,4751.5,1983-02-19
535,19317.6,1973-08-07
1613,14693.0,1978-01-15
3530,6715.7,1986-07-08
3292,9972.6,2007-02-17
7978,12349.6,2016-04-25
7780,19628.2,1982-12-06
1181,5801.9,2023-03-04
4414,14433.0,2023-03-04
4379,18235.8,1984-11-14
5484,13447.9,2018-01-04
4163,5323.2,1985-12-25
1034,11978.2,2005-03-28
5584,13957.0,2018-11-26
7580,19864.1,2016-05-16
1169,17379.5,2009-01-14
2076,14816.4,1998-09-02
1662,9628.9,1993-01-06
4680,8060.2,2005-05-16
2791,16775.0,1994-03-25
5940,18547.5,1989-12-09
1148,6244.1,2015-07-29
5330,13577.9,2000-10-24
5784,4509.7,2000-08-01
6009,6421.4,1976-06-23
4335,12267.1,1993-01-12
5856,6996.3,2023-03-12
3000,627.7,2008-05-18
3227,12195.1,1998-01-28
35,19713.9,1986-08-29
6407,5430.1,2003-06-04
5067,7178.9,2003-09-14
4046,5656.7,2003-01-17
6686,16705.2,1989-02-02
479,5536.7,1973-06-19
6834,11420.9,2008-08-16
4515,16939.8,1997-08-21
1809,3356.8,1980-05-16
5671,5199.3,2018-01-15
6282,9252.0,1996-02-06
1147,2795.5,1986-06-06
1397,13122.2,1998-09-25
5979,4413.2,1979-05-02
5643,12452.2,1973-01-03
4622,2685.2,2020-11-22
6161,13951.7,1988-09-15
2359,18426.5,2009-11-20
5529,5113.4,1993-04-10
6520,3404.8,2014-03-25
5282,13816.4,1980-11-05
7212,4622.9,2009-10-14
3220,12387.1,1986-06-03
3233,650.1,2004-06-30
7189,17541.7,2000-07-12
4451,3322.8,1985-01-14
7361,11095.1,2011-07-28
5454,8059.5,2002-06-19
6077,17290.6,1988-07-20
7832,7201.4,1989-06-04
2299,6123.7,2022-01-04
1306,16899.5,2011-05-17
2152,18651.1,1993-06-19
69,9378.0,1975-08-03
611,17188.1,2015-01-07
5270,7591.2,1997-01-10
7097,16442.2,1974-07-02
5937,19647.1,2018-07-02
3771,19907.8,1974-03-07
3109,4004.7,2020-04-08
3197,16256.6,2002-11-10
4509,14100.8,2020-04-23
4995,7101.7,1975-07-22
460,3947.7,1997-02-03
7377,649.0,1978-11-17
3393,8989.3,1978-01-28
6767,17907.9,2013-02-27
7893,18383.0,1990-03-03
2608,6877.0,1991-04-20
6767,7102.8,2019-09-25
3746,19469.2,2018-02-10
133,8541.1,1999-02-23
4672,18304.6,1985-10-15
4022,17831.1,1988-01-19
2226,11192.1,2001-03-26
5214,18659.2,2012-10-12
3604,15357.8,1984-11-16
7972,18154.2,1976-07-30
3529,1278.6,1974-10-31
4873,3716.6,2019-04-05
5412,17238.2,1994-05-07
5030,3180.4,1989-11-12
550,1078.8,2014-11-02
3550,5482.3,2013-10-07
2515,12081.3,2020-03-01
1335,11549.9,1981-05-17
2345,5859.8,2002-02-14
5922,10236.0,2021-10-29
5984,4822.2,2015-12-27
7017,4496.8,1972-06-30
2011,570.3,1989-12-07
2979,12796.2,1998-10-24
5426,952.6,1992-12-24
4120,13192.1,1981-10-21
6126,7051.7,1988-04-27
4713,13991.9,1991-12-06
5259,13361.7,1986-03-28
805,16017.6,1984-12-03
6844,17195.9,1972-12-29
1628,9743.8,2022-10-13
2769,19754.7,2000-02-19
3514,18589.2,2000-03-27
2393,16802.0,2020-12-06
233,658.8,1978-01-05
432,7287.6,1978-03-19
1673,15159.2,1983-12-03
4629,17435.9,2014-06-14
4848,2629.0,1984-02-17
2499,13268.2,2000-12-03
2096,14067.6,1988-02-02
2031,2493.0,2000-05-01
5919,3262.8,1977-01-27
2234,5137.8,2022-08-12
2060,641.7,1984-03-05
3937,9376.0,2001-05-09
3002,6111.4,1996-02-03
4348,9913.8,2005-10-11
2858,1251.2,2005-11-08
7358,15562.0,1978-09-15
4364,9142.6,1974-04-22
5634,17288.6,1998-08-04
2727,4497.6,2021-02-28
3424,11668.9,2021-04-06
3137,2713.9,2022-03-25
1958,4414.3,1981-07-11
2692,9605.1,2016-07-29
6687,19255.8,1980-04-21
242,2102.3,1994-03-04
2897,1145.0,1979-11-04
6410,1935.4,1976-01-17
3672,9462.9,2001-09-14
2540,8594.6,1990-06-07
3160,8996.0,1998-03-19
3335,16864.9,2010-04-01
7040,6851.0,1995-01-23
1756,13536.9,2001-06-20
1797,5916.9,2017-12-31
2457,11464.9,1988-02-29
4962,2996.5,2020-12-19
4463,4056.1,2014-12-07
3645,15758.6,2018-11-25
2145,18863.2,2019-06-22
6393,8386.8,2015-02-28
11,7711.5,1986-03-03
7254,3571.3,2012-05-18
5636,5528.2,2023-03-29
286,4627.5,1984-04-16
1224,19303.9,1976-05-20
7022,759.5,2022-01-17
7963,18532.9,2012-04-25
2515,13173.2,1994-08-21
2871,4088.1,1991-08-28
1280,15850.7,2014-09-28
2513,1958.7,2000-12-03
5786,2687.1,1988-03-22
708,6041.3,2006-03-15
3333,4401.3,2013-02-26
2599,19373.6,2017-01-13
241,16843.3,2012-12-16
4112,13207.9,1983-05-12
7643,2238.3,2013-08-04
7956,6181.7,2001-05-04
83,1252.7,2013-01-01
6151,12280.0,1972-04-08
6064,16518.5,1980-03-27
1360,16683.2,2002-01-18
1558,859.0,2012-11-17
1062,16774.4,1990-03-21
6641,2185.7,2001-09-05
3111,10401.6,2007-10-26
3523,9836.7,1985-03-03
7293,17834.2,1978-01-29
4063,517.1,1991-08-10
6036,10584.5,1977-02-03
3117,12200.7,1996-07-27
2034,13384.4,2022-03-09
4296,18002.0,2016-01-17
1653,3537.0,1986-04-18
4720,7049.5,2007-10-01
7028,11291.2,2010-10-27
5325,636.6,1974-12-10
2883,15659.1,1978-07-26
1009,4915.6,1988-03-02
7503,14850.7,1981-05-20
7613,4463.7,2004-12-17
3979,11919.5,1997-11-16
1750,14559.3,1992-11-05
3716,19182.5,2006-03-23
1305,1993.6,1997-09-10
6413,11605.1,1978-02-24
2074,16053.1,2011-10-27
7041,13530.3,2010-10-04
3100,8639.4,2019-07-17
7380,1059.8,1988-11-20
7890,14397.6,2002-07-24
4774,6671.5,2005-06-06
1284,8280.5,2022-08-23
1217,6195.4,1998-10-10
104,9962.9,1993-08-10
3864,13278.9,1979-08-14
6597,16118.3,1987-09-10
7748,9422.8,2003-04-24
5876,1498.9,1994-04-08
944,6135.8,1974-02-07
7279,12706.3,1995-12-11
5707,15576.2,2011-08-13
3084,4443.8,1982-04-09
3219,8720.8,2019-01-18
2282,3989.2,2008-07-30
6338,18248.3,2006-04-12
7723,10688.8,1999-12-28
7274,11272.1,2013-04-30
3687,6216.6,2023-06-18
5275,804.0,2002-09-12
5959,7317.3,2008-02-02
1751,4130.4,2020-09-25
2042,16607.8,1988-10-24
3520,595.5,2013-01-11
4936,1506.8,1973-09-22
3786,19841.1,2021-12-12
159,18853.6,2019-12-15
6829,17206.8,2018-06-20
1257,2521.1,1982-08-19
5822,18204.9,2006-05-24
1709,1573.3,1999-11-17
6543,19206.6,1994-11-13
7022,5506.2,2000-05-17
5862,9697.4,1987-08-08
1027,9730.7,1998-03-24
853,2816.5,2015-12-13
3904,19037.1,2009-07-02
1052,16252.0,2005-02-16
2583,19484.9,2014-05-24
2915,2408.3,1985-05-16
7841,19390.6,2012-03-03
1166,3012.1,1981-05-26
833,6092.3,1992-03-07
4273,9400.4,2007-08-13
1663,8999.3,2012-03-11
3437,13598.3,2023-02-12
68,13543.3,1972-09-05
1856,19011.3,2011-08-28
4438,13025.4,2019-08-07
5792,12007.1,1999-10-25
3144,8976.2,1970-01-20
1005,1994.6,1984-03-12
5225,18007.6,2009-09-23
1842,5238.8,2020-05-12
6851,1122.3,1971-12-04
6192,17678.3,2012-06-23
7128,5523.0,1975-12-29
725,14024.6,1975-10-30
7886,902.3,2010-06-30
2527,5721.2,1975-11-19
5581,15430.1,1971-09-16
735,6244.8,1978-01-09
4939,12612.9,1983-09-13
5049,4877.0,2012-02-19
5735,15231.3,2012-05-27
6537,5098.8,2004-10-28
6490,3649.6,1999-11-06
3989,13855.7,2022-11-09
3723,4447.1,2023-05-21
4447,10005.8,2008-09-27
674,9376.4,2014-05-05
4191,11634.5,1973-01-26
2561,12636.8,2000-06-29
3587,4598.6,2018-06-15
3487,18893.9,1980-07-16
7402,13711.8,2002-06-11
1205,13525.0,2001-01-16
2616,9087.5,1985-02-05
756,6093.3,1973-09-08
5611,2639.6,1998-08-02
4025,10589.1,2016-03-06
7171,8865.2,2002-08-03
5317,6836.2,2018-11-02
2885,4385.1,2003-04-06
7911,8799.5,2021-10-04
1445,18034.0,1971-11-28
5359,887.2,1979-04-11
872,15309.3,1984-11-04
866,12983.0,1970-05-10
1107,10686.2,2006-05-14
2043,4825.7,1989-09-27
3767,18710.7,1976-05-05
2456,16529.1,1988-05-12
5037,16947.7,2015-12-18
5580,9517.0,2012-04-11
5261,17864.7,2011-08-06
4817,13277.3,2014-03-11
1050,4463.5,2014-02-13
212,4855.4,2013-08-12
2685,14176.2,1986-10-16
5794,14105.2,2018-09-09
4111,7862.1,2016-06-10
5574,3670.0,2022-04-30
437,5594.4,2012-07-21
1593,2929.3,1970-11-29
6727,7063.7,1995-04-13
7731,16498.3,2013-08-23
5788,15372.3,2022-11-12
38,16925.7,1979-04-16
6016,19163.3,2023-06-11
7012,3608.6,1998-04-14
7787,11378.9,1971-11-30
7061,9989.1,1993-03-04
6565,10371.9,1986-07-04
6843,2761.3,1999-03-22
4812,3452.1,1998-01-31
123,6291.3,2008-06-08
5333,10686.0,2022-08-28
3115,3556.6,2014-08-10
6710,3116.4,1999-09-01
6754,6338.8,2019-06-02
4775,5414.8,2007-06-01
5690,7555.5,1985-11-10
649,12125.7,2008-06-04
3512,12594.2,2019-10-13
6245,16703.5,2009-05-30
434,9257.8,2006-07-18
5004,8657.8,2017-11-21
7685,6370.6,1986-09-26
3342,15143.4,2010-08-28
3213,12631.9,1971-09-07
1610,5047.4,1983-06-06
1615,15045.1,1983-01-18
2940,17214.1,1986-08-24
72,7745.8,1987-05-21
4669,9041.5,2012-04-23
3671,6970.7,2003-07-10
4230,13445.6,2008-09-24
7715,3630.4,1983-08-14
2994,1977.4,1977-11-09
2585,6850.3,1983-12-03
2995,11474.5,1972-04-13
6139,15902.1,1992-10-22
2956,16826.1,1998-04-23
5129,15062.7,1996-11-23
3017,749.6,1999-05-24
6347,18231.6,2006-07-21
5409,4979.3,1995-10-05
5248,9352.6,1970-05-10
6994,17405.5,1991-12-16
1235,18621.1,2011-03-27
3436,4757.5,2007-08-27
60,12241.7,1996-11-26
7077,16501.4,2017-07-12
4271,19895.8,2003-09-21
3892,12429.1,2022-09-06
7270,14284.3,1982-08-06
7380,4032.1,2017-09-23
5377,16020.8,1977-08-06
2689,17140.3,1975-12-19
2135,6182.9,1996-12-18
2163,17637.6,2019-06-10
5363,14910.6,1984-10-24
4729,16202.1,1981-07-23
5096,12399.1,2002-03-09
5656,9444.2,2001-01-19
349,12452.8,1982-11-30
3032,19408.7,2000-11-20
4786,4740.8,1976-03-13
4826,11316.5,2012-05-30
3916,18859.4,2014-11-14
3588,19721.8,1980-12-17
308,15977.8,1986-06-06
3579,15768.1,1978-10-19
4407,18964.4,1999-12-06
2903,9167.5,2012-05-31
7119,2658.3,2004-03-13
256,6612.8,2022-05-21
7102,16761.9,1977-10-25
4356,13105.5,1985-04-16
4510,5838.9,1976-09-14
7128,13744.1,1990-12-26
2230,19593.7,2021-03-19
4034,19710.0,2022-11-16
6767,8334.6,1970-04-01
914,15145.4,1990-10-04
5970,7578.1,1977-10-08
1562,7849.0,1972-04-08
1796,12930.0,1995-05-19
6773,8327.0,1998-06-19
2705,15437.6,1998-01-13
5254,3910.7,2008-08-05
2194,6895.5,2005-10-14
2453,5546.4,1983-12-08
3076,3531.2,1977-07-23
1202,17157.7,1997-01-27
6647,12283.5,2008-05-01
7522,17133.5,2021-03-02
2518,4246.1,1994-12-29
2375,17114.7,1981-05-19
967,17001.6,2000-10-17
4335,15323.5,2022-04-18
7880,14258.9,2001-04-10
4590,8935.6,2021-03-10
6029,16769.4,1991-02-07
7602,15886.1,2020-03-13
376,6566.2,2011-05-29
4698,15863.5,2004-04-30
3926,5999.5,2019-01-14
5205,5215.6,2001-08-31
7882,13486.7,2017-10-13
473,17018.5,2004-03-13
5174,6628.3,1989-07-21
1052,12518.8,1980-11-21
6267,13082.3,1982-12-17
6351,12282.8,1979-03-02
6630,9897.6,2004-06-04
4015,7548.3,1996-05-02
3733,9619.0,1977-02-24
5017,8981.7,1984-03-12
7418,17937.7,2012-03-31
1430,5905.9,1983-07-14
7266,10588.9,2018-03-13
5537,11374.5,2002-05-28
1135,16009.0,1995-09-13
2162,19446.6,1971-04-06
7650,9574.2,1990-09-13
4937,1259.5,1973-12-18
556,19574.0,1976-12-01
5378,5328.8,1974-09-25
1900,4344.2,1970-05-12
7688,11540.8,2013-09-24
325,6936.9,1981-03-21
2553,3670.1,2001-01-22
6047,5725.4,1993-04-28
574,8286.9,1979-05-04
4636,7278.1,1987-02-02
3994,11125.1,2000-07-27
3766,6464.1,1990-10-14
7707,8985.4,1970-02-12
2545,10448.0,2008-11-02
7597,16919.2,1983-07-15
4476,766.8,1989-08-21
5623,11517.6,2020-01-29
2666,16989.6,2013-10-22
4331,530.3,2009-06-26
5443,10377.8,1984-07-09
5609,16409.1,2004-11-16
1989,18525.8,1988-10-20
2910,13318.5,1972-04-08
2786,2202.8,1992-06-18
4239,3589.3,2022-05-12
354,19427.8,2022-10-06
1706,9444.8,1977-08-27
4983,13775.3,1997-04-01
7155,11093.6,1988-01-25
7573,6946.0,1986-03-23
7933,16805.2,1976-07-26
7455,15339.8,1999-12-15
2174,9623.1,2017-04-12
1131,17619.5,1995-04-27
2321,17809.1,2012-08-23
1845,18790.7,2019-10-16
7406,2793.2,2020-01-16
3564,12707.5,2021-02-20
1045,5852.1,2001-01-03
291,2573.8,1994-05-07
5455,16576.8,2001-03-04
4006,835.6,1975-05-31
779,18642.5,2014-10-13
2272,19961.3,2002-10-02
1204,16957.5,2017-04-12
3336,12787.9,1979-10-10
1478,19455.1,2019-01-19
4723,3694.3,1992-02-29
7764,10764.1,2018-08-24
6301,5902.7,1989-10-20
1538,6321.8,1980-08-07
7985,11576.4,2003-05-31
2194,2449.2,1996-07-05
6859,15658.6,1995-06-08
7432,14171.0,2019-01-31
7258,19686.8,2017-11-16
7782,17526.7,2015-12-05
3300,2480.7,2020-06-26
2595,18848.9,1996-10-14
6468,12819.2,1986-03-20
2024,19055.5,2012-07-14
7480,13830.4,1998-02-07
6539,8335.0,2020-09-10
2255,14489.0,1971-11-11
7360,16097.7,1996-08-03
5978,16812.9,1995-09-29
2860,17879.0,2012-05-07
3704,3289.6,1982-10-26
2568,13623.6,1977-06-27
1385,3818.6,2016-09-17
1620,1130.7,2002-02-09
1483,2661.0,2006-09-17
2803,2262.0,1977-09-10
1660,14132.9,2001-10-13
5667,17987.7,1998-10-15
4210,9746.0,1992-06-07
2247,14262.1,2009-09-30
850,14563.6,2001-12-05
2886,13876.6,1987-01-31
4631,9084.5,1990-09-25
3992,14187.0,2018-12-19
699,6982.3,2020-12-05
2263,7093.7,1980-04-06
422,5010.8,2010-09-21
6222,3638.9,2012-01-26
7200,7565.0,1994-10-29
372,9814.8,2006-05-19
4291,6758.1,1973-09-19
7872,3459.7,1975-02-24
7930,3846.8,1989-08-08
6375,5634.5,1986-09-29
4045,11627.5,1973-11-26
3420,1561.8,2008-07-02
4996,1093.2,1981-02-19
6862,14684.5,2023-10-11
2360,18215.5,1984-06-16
6502,2156.0,2004-11-03
1121,6883.7,1988-09-29
7500,17102.2,1989-12-15
2411,17905.5,2018-11-16
5174,7815.4,2010-02-16
2419,1401.9,1999-02-24
4028,6043.1,1986-06-28
1598,16223.0,1975-07-07
6005,9959.8,1970-10-10
710,19208.1,2016-10-23
1428,11035.9,2010-06-14
4385,12035.6,1992-03-03
2875,7923.4,2003-10-29
4386,3734.0,1994-04-01
5673,5981.2,2023-01-12
2708,895.0,1974-05-11
796,3003.6,2004-10-11
6716,5217.0,2018-04-07
4436,12602.8,1997-03-10
1190,11442.6,1975-11-21
3060,13116.8,2017-09-04
5044,4450.8,1988-06-14
1779,13603.8,1988-05-16
3098,2153.4,2023-03-27
7581,7783.9,1970-04-25
3878,3320.9,1985-05-17
6308,700.0,1992-10-18
6703,15187.5,1978-09-24
1452,12179.9,1977-04-21
751,518.5,1998-03-10
7908,3514.0,2014-09-21
6910,17202.6,2003-01-17
261,9997.0,2003-05-15
70,13363.3,2012-10-15
362,12165.5,2007-11-08
6846,1987.1,2000-04-28
7414,6148.0,1988-04-13
6026,11380.2,1972-10-17
6161,8046.6,1986-02-24
4460,15908.0,1979-11-25
6060,13460.6,2014-03-17
6888,5987.1,1984-04-16
5431,12052.3,1994-11-03
7814,6867.9,2023-08-22
2367,6388.4,1997-12-26
2064,18676.6,1982-01-13
4506,8047.3,1989-01-21
5092,1375.5,2023-07-18
2595,12842.5,1985-06-14
4139,19735.3,2017-06-17
6395,18088.2,2009-11-11
3353,665.7,1972-01-13
6293,6035.5,1985-11-21
169,3302.4,2004-01-29
5960,5257.8,2010-10-11
6410,2308.9,2001-12-20
5517,4398.3,1976-05-29
4934,5727.0,1999-08-05
5688,3808.4,1982-01-25
1525,18970.4,2007-01-25
7910,14478.7,2012-11-18
3444,3197.9,1989-03-07
2506,8869.4,1999-06-22
3800,8971.4,1981-08-22
2843,2892.1,1979-01-04
7725,18584.4,1984-01-08
5229,13073.7,2017-07-23
779,9036.8,1990-01-31
2421,2377.9,1984-02-06
7353,8231.3,1988-07-29
7381,17249.7,1979-06-24
7243,2229.5,2019-04-05
3393,3322.5,2017-11-04
4873,17939.1,2002-09-24
4166,14398.2,2022-12-15
7900,12285.4,1989-04-16
7839,5815.5,2021-06-02
3365,5316.1,1983-11-15
683,6265.7,1980-09-07
33,1601.7,1994-03-11
4144,12928.9,2005-08-17
3747,2852.5,1987-11-02
4480,6366.4,1985-08-11
6180,3604.5,1983-05-28
7596,18561.6,1977-06-20
5829,14879.0,1978-03-29
7216,12509.0,2017-03-16
3503,7419.3,2007-10-30
1141,17736.9,1978-10-13
4133,9907.3,1993-12-01
5202,4068.8,2013-12-01
5874,16256.1,1972-05-10
5672,8809.8,1992-11-02
5401,1269.2,2023-06-25
1516,8607.1,1974-04-28
5946,13025.5,1975-03-03
7858,11526.0,1995-04-27
2605,19487.8,2003-04-09
1806,12880.7,1973-08-30
1575,10352.5,1973-12-28
4051,3789.5,1994-03-12
7756,19156.5,2015-03-22
3698,2483.0,2016-03-26
6592,1360.8,1978-12-14
260,7724.0,1991-11-24
3179,8406.3,1999-11-25
1724,13982.4,2021-07-08
7941,9209.1,2005-12-18
4990,9243.6,1972-05-09
3085,5376.8,1986-10-13
5592,4773.8,1973-03-17
7278,9592.9,1981-07-04
4621,1931.9,1972-07-31
4719,13116.1,2018-10-04
3849,7043.2,2020-03-27
7885,11519.7,1973-06-08
5259,19655.8,1999-03-15
1708,10773.7,2004-06-30
4997,17766.0,2018-11-02
1201,6154.5,1988-04-08
6868,4598.8,2002-07-18
1331,1948.2,1979-01-10
3061,15164.3,1990-06-29
5146,6183.9,1982-11-19
1119,4353.3,1994-09-23
5703,17164.1,1977-02-19
6215,10674.8,2000-03-13
5148,18671.7,1991-05-06
837,7036.5,1971-12-23
39,13111.5,1985-12-14
1085,12540.7,1983-10-25
3727,11387.3,2002-01-11
3954,14640.0,1973-07-30
2936,19493.9,1981-12-07
1876,19815.5,2001-04-18
6433,15864.5,1981-06-03
4248,8607.3,2004-07-02
2769,4013.8,1997-04-08
3625,17328.4,2012-12-18
4308,6562.8,2001-03-16
3371,10653.9,1976-10-27
6458,5191.3,1990-09-17
2910,1540.1,1980-01-29
2646,12928.6,1972-05-31
1102,14388.9,2019-02-23
4302,1007.1,1978-08-25
1124,15255.8,2001-04-08
1569,4111.6,1990-10-24
2441,11608.8,2019-09-08
4919,18761.9,2007-11-21
7582,3632.0,1975-01-28
5764,1617.0,2010-05-29
7975,13350.0,2021-09-10
2282,13344.7,2006-01-21
3061,12793.4,1984-02-23
1464,3400.4,1999-07-18
4896,2406.7,2018-11-02
2822,9265.4,1980-07-09
6158,1860.2,2021-03-15
3305,4215.8,1982-11-16
345,15710.9,1979-08-17
1837,11030.4,1988-06-05
7099,5338.0,1983-04-08
367,15371.1,1992-03-24
6512,8072.0,2013-10-19
1007,18038.0,2004-04-16
2286,1381.0,1988-05-10
6102,553.3,1996-11-22
7231,12235.0,1991-12-13
7000,13628.6,1985-08-02
7176,9367.0,1981-03-07
3710,13228.7,1975-09-02
71,13033.9,2018-11-23
3004,7198.3,1982-05-26
5383,11744.2,1989-07-06
5784,19693.9,2021-11-07
5647,9211.5,1977-03-03
2125,5895.2,1995-03-29
613,14062.2,1993-06-03
4773,14541.4,2009-04-15
1170,17349.0,1989-05-11
2638,12043.4,1998-11-10
4333,2090.5,2010-02-19
4452,13007.7,1993-01-20
52,15975.5,2001-04-10
7028,18189.8,1994-08-13
2391,8911.6,2022-05-27
5594,15916.1,2004-01-16
4691,18722.2,1989-05-09
2324,3788.8,1995-01-21
4606,7670.8,2014-10-27
2804,4241.9,1998-12-09
2148,12495.8,1989-04-26
7288,3704.7,1976-03-08
7223,16591.9,1995-10-01
2822,8289.4,1983-07-01
2274,9909.7,2004-07-06
6149,13310.9,1999-05-23
1456,11795.7,1983-01-01
2149,12858.9,1994-07-12
5386,4569.6,2006-09-16
7883,7998.3,2009-08-23
1918,4791.9,2010-09-23
104,1064.5,1972-07-21
976,5075.7,2011-08-22
3700,506.6,1973-01-24
3604,19025.4,2005-11-13
2433,14661.2,2020-05-19
4691,12929.3,2001-08-11
1896,18703.0,2007-12-27
1022,2146.5,1995-06-05
3777,4904.7,2010-06-29
4224,10413.2,2013-01-09
7239,19574.3,1990-03-27
5853,12779.3,1980-11-27
5990,16450.5,1985-09-02
5952,15972.4,1981-11-25
1862,14332.6,1997-05-04
3985,19885.3,1982-09-09
4478,16797.0,1990-08-10
7831,3926.1,2018-06-01
4249,3123.9,1996-01-22
4916,1285.5,1970-01-17
5277,7348.4,1970-08-28
5983,16638.8,1976-04-07
6656,16318.0,2013-11-12
6293,7614.3,1980-11-22
6567,12727.3,2014-12-18
5186,8789.3,1970-03-25
3834,10811.0,1984-09-06
2115,10802.8,1995-02-08
7717,15294.2,1985-12-08
4916,4038.5,2006-10-25
4910,7402.8,1989-01-30
4381,11190.5,2022-07-08
