service_type_id,service_name,utility_company_id
834,Conducting seminars and trainings on energy efficiency for residents and businesses,3648
2413,Conducting seminars and trainings on energy efficiency for residents and businesses,2297
68,Provision of district heating services for apartment buildings,1191
2596,Supply of drinking water for residents and businesses,6409
283,Regular maintenance of elevators in residential buildings,839
934,Repair and replacement of the heating system in residential premises,1571
1652,Installation of energy-efficient lighting and heating systems,850
2328,Provision of district heating services for apartment buildings,3683
1882,Advising on the choice of energy-efficient technologies and equipment for households,2314
637,Supply of drinking water for residents and businesses,6230
1381,Organizing regular garbage collection and its subsequent disposal,3925
834,Installation of energy-efficient lighting and heating systems,3141
1612,Installing modern electricity meters to accurately record consumption,6888
2142,Conducting seminars and trainings on energy efficiency for residents and businesses,6825
1102,Supply of drinking water for residents and businesses,1130
1021,Installing modern electricity meters to accurately record consumption,3513
1579,Advising on the choice of energy-efficient technologies and equipment for households,6903
1221,Organizing regular garbage collection and its subsequent disposal,6596
1914,Installing modern electricity meters to accurately record consumption,1720
192,Installation of energy-efficient lighting and heating systems,2854
613,Advising on the choice of energy-efficient technologies and equipment for households,3887
2649,Regular maintenance of elevators in residential buildings,958
2637,Provision of district heating services for apartment buildings,179
1436,Provision of district heating services for apartment buildings,2262
2304,Repair and replacement of the heating system in residential premises,1981
1857,Advising on the choice of energy-efficient technologies and equipment for households,1395
245,Regular maintenance of elevators in residential buildings,339
2988,Installing modern electricity meters to accurately record consumption,899
209,Advising on the choice of energy-efficient technologies and equipment for households,6724
2,Supply of drinking water for residents and businesses,3864
2885,Conducting seminars and trainings on energy efficiency for residents and businesses,6418
2105,Conducting seminars and trainings on energy efficiency for residents and businesses,4390
2736,Supply of drinking water for residents and businesses,1142
606,Installing modern electricity meters to accurately record consumption,1102
2206,Regular maintenance of elevators in residential buildings,5859
2889,Supply of drinking water for residents and businesses,5784
1171,Supply of drinking water for residents and businesses,402
1395,Organizing regular garbage collection and its subsequent disposal,6855
2807,Installation of energy-efficient lighting and heating systems,4430
1256,Conducting seminars and trainings on energy efficiency for residents and businesses,6735
2243,Provision of district heating services for apartment buildings,6657
2554,Supply of drinking water for residents and businesses,5700
1653,Provision of district heating services for apartment buildings,2411
2011,Provision of district heating services for apartment buildings,1463
638,Conducting seminars and trainings on energy efficiency for residents and businesses,740
344,Installing modern electricity meters to accurately record consumption,6053
1914,Installing modern electricity meters to accurately record consumption,4034
83,Supply of drinking water for residents and businesses,6106
2072,Installing modern electricity meters to accurately record consumption,5570
1194,Installation of energy-efficient lighting and heating systems,6970
401,Advising on the choice of energy-efficient technologies and equipment for households,2934
1306,Conducting seminars and trainings on energy efficiency for residents and businesses,902
1917,Installation of energy-efficient lighting and heating systems,5961
2794,Regular maintenance of elevators in residential buildings,5588
117,Advising on the choice of energy-efficient technologies and equipment for households,5444
2840,Installing modern electricity meters to accurately record consumption,5014
519,Organizing regular garbage collection and its subsequent disposal,2306
2600,Supply of electricity for lighting and household needs of the residents,3635
1232,Regular maintenance of elevators in residential buildings,3541
2447,Provision of district heating services for apartment buildings,5771
161,Conducting seminars and trainings on energy efficiency for residents and businesses,3572
2522,Regular maintenance of elevators in residential buildings,2847
2625,Installation of energy-efficient lighting and heating systems,5176
140,Provision of district heating services for apartment buildings,1245
882,Organizing regular garbage collection and its subsequent disposal,3249
2403,Conducting seminars and trainings on energy efficiency for residents and businesses,1975
2287,Installation of energy-efficient lighting and heating systems,5643
964,Conducting seminars and trainings on energy efficiency for residents and businesses,1127
2983,Installation of energy-efficient lighting and heating systems,4668
2259,Supply of drinking water for residents and businesses,6520
928,Provision of district heating services for apartment buildings,3319
2755,Provision of district heating services for apartment buildings,3111
1904,Installing modern electricity meters to accurately record consumption,282
1546,Conducting seminars and trainings on energy efficiency for residents and businesses,4816
580,Organizing regular garbage collection and its subsequent disposal,4055
1339,Conducting seminars and trainings on energy efficiency for residents and businesses,4018
94,Regular maintenance of elevators in residential buildings,669
358,Installing modern electricity meters to accurately record consumption,1235
2384,Supply of electricity for lighting and household needs of the residents,4694
2213,Supply of electricity for lighting and household needs of the residents,4820
750,Supply of electricity for lighting and household needs of the residents,3321
2204,Organizing regular garbage collection and its subsequent disposal,4749
1540,Supply of drinking water for residents and businesses,393
2637,Supply of electricity for lighting and household needs of the residents,5041
1792,Supply of electricity for lighting and household needs of the residents,2182
570,Conducting seminars and trainings on energy efficiency for residents and businesses,778
704,Installing modern electricity meters to accurately record consumption,4469
2855,Repair and replacement of the heating system in residential premises,6234
1529,Organizing regular garbage collection and its subsequent disposal,528
1201,Supply of drinking water for residents and businesses,6843
2471,Conducting seminars and trainings on energy efficiency for residents and businesses,1984
786,Installing modern electricity meters to accurately record consumption,3914
2471,Supply of drinking water for residents and businesses,1180
2439,Advising on the choice of energy-efficient technologies and equipment for households,6289
938,Installation of energy-efficient lighting and heating systems,4860
1228,Conducting seminars and trainings on energy efficiency for residents and businesses,5880
1728,Supply of drinking water for residents and businesses,6045
13,Regular maintenance of elevators in residential buildings,4656
769,Supply of drinking water for residents and businesses,5813
1191,Installation of energy-efficient lighting and heating systems,4060
2910,Installing modern electricity meters to accurately record consumption,5798
663,Advising on the choice of energy-efficient technologies and equipment for households,1116
1506,Supply of drinking water for residents and businesses,2282
1637,Repair and replacement of the heating system in residential premises,3020
1099,Supply of electricity for lighting and household needs of the residents,6094
1926,Supply of drinking water for residents and businesses,3104
9,Organizing regular garbage collection and its subsequent disposal,4428
703,Organizing regular garbage collection and its subsequent disposal,6672
1526,Advising on the choice of energy-efficient technologies and equipment for households,6123
893,Installing modern electricity meters to accurately record consumption,4365
1535,Organizing regular garbage collection and its subsequent disposal,6318
2795,Organizing regular garbage collection and its subsequent disposal,4387
1956,Regular maintenance of elevators in residential buildings,2763
25,Repair and replacement of the heating system in residential premises,2561
2054,Supply of drinking water for residents and businesses,1539
958,Installing modern electricity meters to accurately record consumption,966
747,Conducting seminars and trainings on energy efficiency for residents and businesses,6266
752,Regular maintenance of elevators in residential buildings,4630
381,Installation of energy-efficient lighting and heating systems,1975
2667,Regular maintenance of elevators in residential buildings,4331
1071,Regular maintenance of elevators in residential buildings,1630
2173,Provision of district heating services for apartment buildings,178
1182,Repair and replacement of the heating system in residential premises,4605
2048,Supply of drinking water for residents and businesses,3406
2081,Installing modern electricity meters to accurately record consumption,4428
376,Organizing regular garbage collection and its subsequent disposal,2064
2223,Regular maintenance of elevators in residential buildings,2304
2293,Provision of district heating services for apartment buildings,3207
2648,Repair and replacement of the heating system in residential premises,5784
2280,Supply of electricity for lighting and household needs of the residents,1299
2019,Regular maintenance of elevators in residential buildings,654
31,Regular maintenance of elevators in residential buildings,3733
2605,Conducting seminars and trainings on energy efficiency for residents and businesses,5830
2636,Provision of district heating services for apartment buildings,5690
764,Installation of energy-efficient lighting and heating systems,4511
1948,Installing modern electricity meters to accurately record consumption,1645
1340,Conducting seminars and trainings on energy efficiency for residents and businesses,5074
2343,Installation of energy-efficient lighting and heating systems,4383
1257,Supply of drinking water for residents and businesses,2606
1078,Regular maintenance of elevators in residential buildings,4939
1042,Conducting seminars and trainings on energy efficiency for residents and businesses,1345
740,Organizing regular garbage collection and its subsequent disposal,4349
459,Installing modern electricity meters to accurately record consumption,4451
52,Repair and replacement of the heating system in residential premises,5584
1850,Installation of energy-efficient lighting and heating systems,2132
2100,Advising on the choice of energy-efficient technologies and equipment for households,5312
2232,Provision of district heating services for apartment buildings,1249
732,Installing modern electricity meters to accurately record consumption,2538
1905,Repair and replacement of the heating system in residential premises,4786
1267,Regular maintenance of elevators in residential buildings,6896
2947,Conducting seminars and trainings on energy efficiency for residents and businesses,6879
939,Conducting seminars and trainings on energy efficiency for residents and businesses,3952
963,Supply of electricity for lighting and household needs of the residents,738
621,Organizing regular garbage collection and its subsequent disposal,4132
2402,Advising on the choice of energy-efficient technologies and equipment for households,290
941,Installing modern electricity meters to accurately record consumption,4217
1426,Installation of energy-efficient lighting and heating systems,2510
1587,Installing modern electricity meters to accurately record consumption,5356
2454,Installation of energy-efficient lighting and heating systems,449
474,Repair and replacement of the heating system in residential premises,6263
682,Advising on the choice of energy-efficient technologies and equipment for households,4755
73,Conducting seminars and trainings on energy efficiency for residents and businesses,4771
1325,Organizing regular garbage collection and its subsequent disposal,5657
134,Regular maintenance of elevators in residential buildings,6648
1634,Advising on the choice of energy-efficient technologies and equipment for households,5914
1975,Advising on the choice of energy-efficient technologies and equipment for households,5541
589,Installation of energy-efficient lighting and heating systems,3978
67,Repair and replacement of the heating system in residential premises,3761
2931,Repair and replacement of the heating system in residential premises,6887
304,Installation of energy-efficient lighting and heating systems,6011
634,Advising on the choice of energy-efficient technologies and equipment for households,2399
709,Supply of drinking water for residents and businesses,6756
2486,Advising on the choice of energy-efficient technologies and equipment for households,2309
2633,Organizing regular garbage collection and its subsequent disposal,456
773,Regular maintenance of elevators in residential buildings,2917
1556,Organizing regular garbage collection and its subsequent disposal,57
987,Organizing regular garbage collection and its subsequent disposal,2674
451,Repair and replacement of the heating system in residential premises,4118
2334,Repair and replacement of the heating system in residential premises,479
2914,Supply of electricity for lighting and household needs of the residents,1539
2894,Installing modern electricity meters to accurately record consumption,1418
2399,Conducting seminars and trainings on energy efficiency for residents and businesses,2135
2163,Provision of district heating services for apartment buildings,876
949,Provision of district heating services for apartment buildings,2926
641,Conducting seminars and trainings on energy efficiency for residents and businesses,6205
2561,Provision of district heating services for apartment buildings,2669
415,Provision of district heating services for apartment buildings,5611
919,Organizing regular garbage collection and its subsequent disposal,1170
118,Advising on the choice of energy-efficient technologies and equipment for households,5932
156,Installation of energy-efficient lighting and heating systems,595
1731,Supply of electricity for lighting and household needs of the residents,6276
408,Supply of electricity for lighting and household needs of the residents,3882
832,Regular maintenance of elevators in residential buildings,3037
2806,Installing modern electricity meters to accurately record consumption,6402
1345,Installation of energy-efficient lighting and heating systems,3297
1154,Regular maintenance of elevators in residential buildings,2414
768,Supply of electricity for lighting and household needs of the residents,3194
1272,Supply of electricity for lighting and household needs of the residents,3437
2402,Installation of energy-efficient lighting and heating systems,2912
1203,Regular maintenance of elevators in residential buildings,4098
980,Supply of electricity for lighting and household needs of the residents,267
2178,Advising on the choice of energy-efficient technologies and equipment for households,2030
1595,Installation of energy-efficient lighting and heating systems,3886
1041,Installation of energy-efficient lighting and heating systems,3013
1098,Organizing regular garbage collection and its subsequent disposal,3328
1936,Conducting seminars and trainings on energy efficiency for residents and businesses,3924
1146,Regular maintenance of elevators in residential buildings,965
2604,Supply of drinking water for residents and businesses,2230
756,Regular maintenance of elevators in residential buildings,4998
803,Supply of drinking water for residents and businesses,3192
2026,Installation of energy-efficient lighting and heating systems,554
1827,Installation of energy-efficient lighting and heating systems,5941
1776,Conducting seminars and trainings on energy efficiency for residents and businesses,4985
581,Installation of energy-efficient lighting and heating systems,5279
182,Supply of electricity for lighting and household needs of the residents,6994
1510,Advising on the choice of energy-efficient technologies and equipment for households,5610
1066,Supply of electricity for lighting and household needs of the residents,3592
439,Provision of district heating services for apartment buildings,6505
2218,Installing modern electricity meters to accurately record consumption,4133
1025,Installation of energy-efficient lighting and heating systems,6988
2020,Installing modern electricity meters to accurately record consumption,994
1448,Supply of electricity for lighting and household needs of the residents,3647
2787,Conducting seminars and trainings on energy efficiency for residents and businesses,1271
677,Installing modern electricity meters to accurately record consumption,4794
1802,Repair and replacement of the heating system in residential premises,5300
1397,Supply of drinking water for residents and businesses,4086
207,Supply of electricity for lighting and household needs of the residents,3672
2188,Provision of district heating services for apartment buildings,186
2769,Conducting seminars and trainings on energy efficiency for residents and businesses,6810
1542,Provision of district heating services for apartment buildings,432
7,Installation of energy-efficient lighting and heating systems,4588
1785,Supply of drinking water for residents and businesses,2700
1454,Provision of district heating services for apartment buildings,1389
721,Regular maintenance of elevators in residential buildings,785
1762,Installation of energy-efficient lighting and heating systems,5999
771,Conducting seminars and trainings on energy efficiency for residents and businesses,6658
29,Organizing regular garbage collection and its subsequent disposal,2963
2614,Supply of electricity for lighting and household needs of the residents,2502
2936,Installation of energy-efficient lighting and heating systems,3597
2664,Supply of electricity for lighting and household needs of the residents,6235
1197,Provision of district heating services for apartment buildings,5357
1911,Organizing regular garbage collection and its subsequent disposal,4558
1747,Conducting seminars and trainings on energy efficiency for residents and businesses,3482
1396,Provision of district heating services for apartment buildings,1193
410,Installing modern electricity meters to accurately record consumption,6945
2479,Supply of electricity for lighting and household needs of the residents,1328
2175,Installing modern electricity meters to accurately record consumption,2400
882,Regular maintenance of elevators in residential buildings,2349
159,Conducting seminars and trainings on energy efficiency for residents and businesses,3190
1309,Repair and replacement of the heating system in residential premises,1327
264,Provision of district heating services for apartment buildings,6329
981,Provision of district heating services for apartment buildings,1800
1432,Installing modern electricity meters to accurately record consumption,3728
626,Regular maintenance of elevators in residential buildings,3888
