object_id,creation_date,payment_term,total,consumer_id,consultant_id
41,1997-07-08,2008-10-14,7760.2,6464,3760
42,2001-05-22,2014-10-01,3539.3,5406,3897
43,1971-10-21,2017-02-26,818.3,5353,3749
44,1980-06-01,1983-12-07,9127.4,5786,1355
45,1974-11-12,2000-11-09,2624.1,5427,1565
46,1976-10-11,1985-09-17,1116.5,5569,1979
47,1992-01-19,2006-08-11,2834.0,5488,683
48,1984-10-21,2008-06-03,548.6,4315,4081
49,2005-10-27,2016-09-25,4192.0,6454,5932
50,1996-07-19,2021-08-04,2957.3,6243,1250
51,1997-02-21,2014-05-22,8248.6,5725,1752
52,1988-10-27,1989-11-21,1784.1,5641,1298
53,1971-09-20,2018-03-23,2746.6,6739,4246
54,1988-05-15,2012-06-11,9019.1,5717,3167
55,1976-09-12,2005-06-01,5043.5,4847,5363
56,2007-10-10,2020-11-02,7072.6,5145,1249
57,1980-10-06,2002-03-08,5557.3,5566,1852
58,2015-02-14,2020-10-11,5244.6,5826,1735
59,1988-12-26,2010-12-10,5990.0,6940,2646
60,1985-08-18,2010-08-17,6554.7,5738,813
61,1994-09-21,1997-02-04,8285.3,4567,3110
62,1998-07-30,2020-09-02,5040.9,4071,3671
63,2001-03-08,2006-06-05,9944.8,6910,2590
64,1981-02-27,2004-12-12,9276.3,6976,4768
65,2005-03-28,2023-08-08,4067.1,4048,5315
66,1976-01-30,1981-01-17,3098.5,5811,440
67,1985-10-31,2010-11-11,4678.8,6333,4047
68,1981-01-01,2014-07-06,8298.3,5751,1742
69,1971-02-14,2005-08-28,7171.5,6452,4122
70,1992-11-30,2016-09-26,3615.1,6912,2023
71,2010-12-13,2013-05-20,9788.3,5850,1729
72,1977-04-05,2014-04-26,8045.4,6413,2593
73,1974-08-14,1976-01-07,1488.0,6526,490
74,1974-10-25,1976-05-26,9793.8,4647,4447
75,1977-11-23,1996-06-04,4203.8,5685,3365
76,1977-11-30,2002-06-24,2126.6,5316,413
77,1996-02-29,2004-07-11,675.8,6156,1102
78,1988-02-02,2013-02-28,4350.3,4208,2820
79,1972-06-10,2010-02-02,2367.3,6170,2297
80,1978-11-07,2005-12-05,9999.1,4721,2501
81,1986-01-31,2011-08-19,8273.3,6752,1586
82,1987-04-10,1996-10-19,9752.6,6840,3443
83,1998-12-09,2010-01-13,1592.8,6409,357
84,2011-02-12,2018-12-09,1706.2,6362,3465
85,1973-01-18,1997-07-07,6755.7,5049,885
86,1981-04-07,2021-11-18,7862.1,6652,3080
87,1976-02-15,2019-06-03,8939.1,6198,5279
88,1970-08-17,2020-08-30,5556.7,6164,1300
89,1984-01-07,2011-10-17,541.0,6082,5167
90,1985-07-28,1995-06-05,5069.2,6578,179
91,1982-11-25,2016-08-22,3396.5,5868,1097
92,1974-05-06,2022-10-27,4583.9,4511,3245
93,1988-06-17,2021-08-10,8434.7,4609,4822
94,1998-04-04,2004-01-07,935.9,6324,5944
95,1981-12-29,2013-07-27,8158.9,5316,5816
96,1970-06-17,1989-12-01,5724.8,6203,5839
97,1991-05-05,2008-05-03,9962.6,5883,1480
98,1978-10-21,2015-11-11,7820.9,5966,3652
99,1989-01-30,2007-05-26,5084.1,4717,2742
100,2010-12-08,2014-04-29,9950.6,5884,5246
101,1976-04-27,1987-07-18,1221.1,5514,1651
102,2004-04-21,2006-07-13,9472.7,4526,4549
103,1999-02-17,2023-11-11,2427.3,6119,2192
104,2008-09-04,2014-05-06,8290.8,6049,3386
105,1970-04-16,2019-12-29,3924.0,4677,2054
106,1994-07-21,2006-08-29,9564.9,6795,4403
107,1995-04-21,1997-03-29,517.5,5694,757
108,1995-11-24,2020-11-25,7151.5,5805,4954
109,1973-01-12,2020-10-23,4123.8,5604,1523
110,1997-07-23,2005-03-21,6355.5,4696,4706
111,1970-08-12,2012-06-29,2286.1,4747,4019
112,2008-01-03,2020-06-07,8017.3,4834,1093
113,2007-06-15,2023-06-16,3411.7,6498,1797
114,1989-11-09,1992-09-15,3238.5,4652,2412
115,1979-04-14,2005-02-08,6708.7,6212,5496
116,1971-11-12,2020-12-18,9167.8,4268,5947
117,2000-08-25,2019-08-17,1835.2,6843,4039
118,2002-03-02,2022-12-29,5595.1,6725,3115
119,1980-04-17,1980-10-27,1751.4,6679,4540
120,1988-09-12,2010-08-16,2510.6,6155,1574
121,1999-12-16,2019-06-23,972.7,6418,347
122,1992-02-04,2015-05-27,2581.1,6480,1805
123,1984-05-03,2016-08-10,513.5,5986,3375
124,2009-04-17,2017-07-06,9815.4,6934,4607
125,1975-06-02,1987-12-22,1294.4,5650,480
126,1974-04-26,2014-07-29,8016.9,4091,4305
127,1978-01-08,1994-04-13,7659.5,6862,2838
128,1993-01-15,2022-06-12,5842.4,6132,5804
129,1991-10-24,1996-04-02,7418.6,6459,3626
130,1975-07-24,1986-01-17,4098.6,6773,1710
131,2011-04-23,2015-10-25,2282.6,6002,2792
132,1984-12-20,2003-08-02,8419.9,5742,5023
133,2005-03-30,2013-01-17,841.6,6761,1351
134,1978-06-23,2022-07-10,1371.9,4643,4543
135,1999-04-22,2004-02-27,5637.3,4945,2589
136,1990-06-12,2008-07-20,9662.2,4680,3500
137,1984-03-09,1999-07-22,8602.6,6761,2101
138,2005-12-27,2011-07-02,8320.3,6629,608
139,2010-02-08,2021-07-21,8090.7,4686,2799
140,2004-07-30,2009-09-27,4897.0,6866,642
141,1990-03-05,1995-06-23,6087.2,6446,3429
142,2005-01-28,2021-09-12,2338.2,4983,950
143,1987-03-26,1987-08-28,2376.8,4853,4089
144,1987-03-17,2013-11-25,9179.4,5053,2174
145,1979-08-11,1994-07-05,699.2,4181,1406
146,1980-11-05,1995-07-01,2497.9,6374,1068
147,1976-05-04,1987-10-16,5956.7,4791,2798
148,2005-08-05,2006-07-06,3221.2,4623,4661
149,1974-04-26,1989-03-14,3931.7,5017,1263
150,1985-03-24,2020-01-21,1692.4,5098,225
151,1998-01-03,2019-06-22,6624.5,6457,1606
152,1976-06-02,1976-08-03,8014.0,5973,186
153,1977-12-25,1979-08-26,5528.3,4944,1939
154,1974-07-18,2000-02-02,7133.2,4589,401
155,1987-06-29,2012-06-18,9849.9,6787,4101
156,1987-05-04,2009-11-11,4491.9,6366,727
157,2013-09-24,2018-07-19,7600.7,6283,573
158,2002-12-22,2003-06-21,8502.0,5678,1317
159,2000-02-04,2006-10-20,7235.7,4857,1636
160,2002-07-31,2015-01-13,4726.9,6868,4769
161,2000-06-09,2005-06-06,7086.6,4826,5940
162,1974-02-05,1994-10-23,1121.6,4159,465
163,1979-05-16,1988-01-19,5918.1,5468,3064
164,2000-01-30,2003-11-16,3354.9,6175,1024
165,1985-10-05,2014-01-16,3172.1,4725,3965
166,2008-01-16,2009-01-07,5408.2,4259,5623
167,1971-03-10,1994-12-19,7003.0,6295,3952
168,1973-07-24,2018-09-16,985.2,4907,4198
169,1970-08-11,1979-09-29,8360.5,6708,402
170,1971-05-24,1981-09-09,7789.3,6213,309
171,1974-01-09,2015-02-11,7801.9,4006,372
172,2009-11-03,2017-04-19,4174.3,4924,3430
173,1995-12-10,2017-05-27,2206.4,5798,5120
174,1989-05-19,2017-08-21,4905.4,4613,5803
175,1996-06-19,1997-10-18,7824.2,5029,5751
176,1977-01-26,1995-02-21,1476.8,6304,1806
177,1978-04-19,2007-06-01,1465.2,5756,1439
178,1976-08-12,1991-06-15,3224.1,6312,22
179,1995-11-11,2020-07-01,6985.4,5584,3259
180,1992-05-29,2020-06-02,6992.3,5683,1018
181,1978-09-14,2005-12-18,4132.5,4191,966
182,1996-11-23,2022-07-29,3767.0,5961,1148
183,1999-05-02,2016-01-31,6630.0,6987,3321
184,1999-08-20,2020-02-29,8029.7,4956,3445
185,2007-02-23,2008-08-09,2431.7,4898,4062
186,2005-02-11,2016-08-07,5638.2,6675,3184
187,1973-06-16,2023-01-26,2304.6,5238,5338
188,2000-02-15,2010-05-20,1205.4,4113,5820
189,1976-12-11,1984-02-18,9769.0,6181,5863
190,1995-10-27,2001-12-27,2222.5,5018,2367
191,1981-06-24,1983-04-11,2115.4,5870,4049
192,1985-08-31,1995-07-12,2612.3,4388,3349
193,1977-10-11,2000-04-21,9614.6,6665,989
194,1973-08-12,1996-12-28,8321.7,5599,4124
195,2010-11-16,2019-04-22,6666.8,5012,5344
196,1990-11-06,2011-11-28,8220.5,6606,3470
197,1975-07-05,1992-11-22,6248.5,5846,3
198,1975-08-23,1999-10-11,9740.3,5846,5405
199,2004-05-08,2011-10-19,8013.2,4220,4685
200,1989-07-08,2020-12-08,8762.5,5527,3749
201,1998-09-02,2017-09-19,5714.3,4118,5057
202,2000-08-28,2014-10-27,7875.7,5182,2369
203,1970-04-21,2014-09-26,9522.3,6856,5680
204,2000-07-06,2017-12-24,4352.0,6166,3316
205,1970-08-18,1998-02-24,3531.8,6109,5633
206,1986-06-09,2000-12-25,9349.3,5756,4077
207,1995-08-02,2001-02-13,7434.5,6961,1582
208,2003-04-27,2010-09-15,1733.4,5116,3906
209,1973-06-21,2014-05-22,6058.2,5068,1172
210,1995-01-21,2018-12-19,9865.2,6224,4669
211,1974-12-14,2014-11-17,6053.8,6005,911
212,1991-04-06,2018-09-05,9094.4,6909,3521
213,1970-01-27,2008-09-11,8864.9,4400,3714
214,1973-03-14,2008-09-07,2189.7,5594,368
215,1976-10-04,2006-11-15,8873.4,5808,3112
216,1978-07-06,1985-08-27,7917.4,6791,2520
217,2012-08-13,2023-10-05,8437.5,5672,4841
218,1976-04-09,2019-12-07,4762.3,4960,4784
219,2001-12-17,2004-11-21,4370.7,4626,4156
220,1981-09-15,2022-10-26,9271.9,4361,5614
221,1977-11-27,1990-06-06,2476.1,5281,3568
222,1974-02-08,1976-11-17,6150.0,4544,1128
223,1992-03-10,2012-08-13,9804.3,5534,4598
224,2007-05-25,2011-05-11,2714.5,6854,2946
225,2007-03-19,2017-05-03,8980.0,5699,299
226,1972-02-23,1985-02-22,2377.4,4585,5799
227,2011-12-12,2023-08-03,1493.3,5873,3500
228,2016-12-29,2017-10-02,6120.2,6274,4409
229,1978-02-12,2010-12-21,3672.9,4505,4628
230,1981-12-31,2015-03-01,7348.7,4859,1008
231,2014-08-05,2019-10-18,2377.3,6076,5005
232,1971-07-01,1996-05-28,7581.7,4207,1733
233,1997-06-26,2022-01-27,4167.1,6919,4826
234,1988-05-08,1995-04-30,1382.8,6792,5066
235,2001-08-03,2010-06-17,2987.6,5556,5833
236,1977-08-05,1979-10-12,2896.8,5682,2140
237,1981-05-01,1983-05-17,5211.5,4688,2948
238,2017-08-31,2020-10-11,706.6,4111,140
239,1980-09-06,2007-10-09,9280.1,5215,3933
240,1997-08-25,2012-04-03,3534.2,6197,5231
241,1978-10-26,2014-01-11,1519.4,5162,3069
242,1970-10-06,1980-03-19,8853.1,6725,527
243,2011-10-16,2021-08-26,2906.5,6969,1541
244,1971-08-28,1978-03-08,8860.0,5716,4519
245,2007-09-29,2015-07-20,8412.0,4966,1651
246,1982-01-25,1989-03-08,1148.8,5347,3354
247,1972-12-22,1977-12-10,9839.7,4737,4595
248,1986-06-15,2022-11-25,2120.1,6487,2572
249,2012-10-25,2015-07-04,7603.6,6971,3659
250,1989-06-19,2000-06-16,5285.1,6396,467
251,1997-02-09,2023-08-07,5734.8,6894,513
252,1999-02-02,2015-09-11,6468.4,6944,5257
253,1984-07-24,1999-03-06,6265.4,5844,4554
254,1975-11-27,2008-10-29,1752.0,4495,2709
255,2012-07-17,2013-12-25,4423.3,6085,3945
256,1988-07-21,2007-12-02,4026.0,4140,5506
257,1970-08-15,1983-02-24,3403.4,6941,4002
258,1977-01-21,2008-08-06,1073.0,6382,1688
259,1978-01-11,2007-03-28,1454.4,6151,950
260,1990-05-17,2012-03-20,4494.4,6414,4317
261,1981-01-14,2009-05-28,8125.7,6011,3251
262,1977-09-08,1989-09-27,3744.3,6903,4945
263,2013-11-21,2016-02-19,6627.8,5796,2674
264,2013-05-21,2023-08-30,1925.6,5695,4496
265,1986-05-12,2008-03-27,2810.3,4961,2228
266,2018-06-01,2022-08-30,1124.7,4312,5739
267,1988-07-21,1999-12-25,3741.3,6586,563
268,1970-10-20,1985-01-19,4366.9,5451,4588
269,1972-08-25,2015-02-11,7435.8,4328,1420
270,1998-01-21,2003-05-04,8523.8,4977,2637
271,2019-01-16,2020-09-28,7394.6,4033,569
272,1981-02-22,1998-08-08,3273.6,4582,1262
273,1971-04-26,2018-01-09,8135.6,6410,210
274,1990-01-12,1996-11-20,5138.6,6661,2592
275,1996-07-23,2012-07-18,1071.2,5065,5595
276,2006-08-27,2007-06-28,3357.0,4805,3812
277,1981-10-19,1983-11-29,3732.8,4353,4402
278,2019-04-06,2021-10-06,6675.6,4943,631
279,1998-05-26,1999-12-12,8214.9,5532,2001
280,1980-09-10,2022-04-23,6595.5,4897,3579
281,2000-01-20,2017-12-09,8659.6,4015,2559
282,2006-07-17,2010-09-20,8748.4,5151,5809
283,1988-06-22,1989-04-04,4229.2,6233,899
284,1970-10-25,2015-11-26,8765.3,4054,3728
285,1980-12-16,1984-12-02,5824.0,6554,605
286,1989-05-08,2004-11-20,8545.3,6889,4074
287,1986-03-11,2004-04-25,6947.9,6316,2560
288,1972-02-25,1989-06-28,1585.1,4948,3774
289,1993-09-28,2009-09-07,4100.9,5786,5544
290,1990-02-22,2019-09-08,2156.7,4714,3649
291,1994-04-20,2018-05-03,9791.2,5990,3916
292,1989-11-11,2013-08-28,2392.3,4230,2339
293,1970-10-11,1983-06-29,1695.4,4631,1659
294,2001-05-17,2015-02-03,9295.1,5867,4948
295,1975-06-20,1999-10-13,883.3,4375,2778
296,1987-09-13,1990-05-23,9877.4,5806,2467
297,2002-07-28,2013-08-18,7305.1,5662,1375
298,1972-11-21,2019-05-21,868.9,4631,5044
299,1972-07-29,1975-06-06,1059.8,6732,3865
300,1976-04-06,1984-03-02,6460.0,6437,1047
301,1978-03-27,2018-04-03,8070.9,5750,729
302,1988-01-20,2006-08-28,9478.9,6549,3069
303,1978-10-18,2020-05-23,2474.0,4908,4381
304,1994-10-09,2002-04-06,7401.1,4058,891
305,1997-11-18,2023-03-27,6427.6,5660,1998
306,1993-12-10,1998-09-08,9908.7,5681,5883
307,1977-03-21,1984-05-22,1369.2,4110,4450
308,1984-08-14,2023-05-02,5444.0,5734,4904
309,1997-12-02,2004-05-30,2589.7,6164,1501
310,1972-06-10,1995-03-27,8609.7,5135,1757
311,2001-01-28,2018-05-25,9539.7,6529,1986
312,1976-11-11,2017-01-21,3772.7,4941,549
313,2005-12-12,2020-02-19,8919.5,4295,2149
314,1977-03-22,1983-05-22,6666.0,5602,2323
315,1980-12-30,2014-11-24,6340.5,6634,3744
316,1997-01-20,2016-06-25,1892.3,5030,97
317,1997-03-03,2021-06-01,9946.8,4937,3157
318,1998-08-07,2009-11-12,6451.9,6144,3590
319,1987-08-07,1995-01-27,5522.6,5383,1982
320,1972-05-27,2000-01-19,5405.1,4502,2949
321,1993-04-06,2018-10-04,3714.0,5725,1689
322,1970-09-28,1983-11-26,6575.4,6397,5451
323,1972-12-21,1976-08-28,847.9,4529,1153
324,1979-06-23,1988-07-11,5050.7,4387,1596
325,1976-10-12,2005-02-17,7665.9,4447,2328
326,1974-12-04,1996-01-29,8717.6,4626,5069
327,1983-04-19,1991-08-21,1379.7,4404,3779
328,1970-02-08,2002-11-02,8699.4,4997,4845
329,1986-07-17,2019-04-15,6519.4,5439,5944
330,1982-11-24,1994-01-04,9236.3,4569,5088
331,2004-01-23,2008-12-03,2295.5,6343,971
332,2004-06-09,2023-01-15,3162.9,6780,1670
333,1994-12-02,2015-06-30,1609.5,4471,1073
334,1998-08-26,2003-11-09,3188.0,4030,445
335,1999-01-26,2007-09-25,1987.9,5031,1215
336,1981-07-01,2006-01-08,9149.4,4727,5950
337,1981-04-29,2022-02-27,970.4,5228,2502
338,1994-05-24,2020-05-29,4678.1,4740,2409
339,1988-09-06,2010-10-22,1727.3,4645,3447
340,2003-07-27,2008-08-18,6382.0,5734,4928
341,1972-07-09,1986-08-28,3048.1,4305,1608
342,2001-12-16,2011-12-23,7355.8,4335,3222
343,1987-04-26,2018-06-16,5018.9,6339,1788
344,1986-11-27,2006-07-09,8443.2,5067,4584
345,1995-09-07,2019-03-27,6040.2,5462,3778
346,1983-11-05,2016-02-23,3141.3,5918,1087
347,1972-05-26,1984-07-21,8243.3,6386,4779
348,1984-08-03,2001-11-10,3950.7,4648,502
349,1981-10-20,2005-04-20,4764.8,6583,3125
350,1975-08-18,1979-06-15,5732.9,4990,1952
351,1994-12-26,1999-01-14,3172.1,6469,5733
352,1979-07-10,1995-12-15,8335.3,4866,3230
353,1987-05-16,1995-05-14,3271.0,4172,1604
354,1995-01-02,1999-01-12,3685.9,4919,3534
355,1976-04-05,1987-02-08,2583.6,5627,2826
356,1998-02-21,2000-04-05,8789.6,4495,140
357,1986-12-05,2000-04-18,4712.9,5809,1165
358,1976-09-01,1989-06-30,9115.6,4717,3778
359,1984-03-25,1999-03-22,3560.9,4941,4352
360,1993-11-14,2001-12-05,7412.0,5634,3576
361,1980-11-10,1988-03-29,6528.5,5955,5621
362,1973-05-01,2007-01-06,9674.8,6014,2829
363,1979-10-03,1989-02-01,7480.7,6284,237
364,1984-06-27,2014-12-05,8719.1,5689,1257
365,1997-05-21,2022-02-05,2156.8,5820,561
366,1986-08-21,2015-02-09,8809.5,5222,5849
367,1992-11-02,1997-12-31,8865.2,5854,3934
368,1984-02-17,1991-05-31,2808.1,5793,4766
369,1988-05-21,1989-02-22,1057.2,6717,5590
370,2014-07-04,2015-01-09,3799.5,4616,4485
371,1970-01-16,1983-01-31,8681.8,6489,472
372,2016-07-07,2021-10-06,1938.3,5615,2329
373,1986-12-27,1998-05-16,7972.4,4852,2501
374,1972-10-26,2003-08-24,2190.6,4904,2423
375,1972-10-07,2006-05-23,5844.9,6340,226
376,2015-12-27,2017-01-29,796.3,5233,855
377,1992-02-25,2000-11-01,6618.9,5525,2591
378,2003-04-19,2015-02-19,3302.0,5074,5743
379,1980-05-24,1993-04-17,6286.4,4145,4151
380,2001-11-29,2013-10-17,4117.6,5023,1166
381,2002-02-17,2023-03-29,4188.4,4388,933
382,1976-04-15,2017-12-29,6400.2,6382,4524
383,1999-01-15,2001-03-24,8730.3,4291,755
384,1983-06-29,1983-09-29,5300.8,5946,2719
385,1994-08-07,2023-10-02,5672.2,4725,2129
386,2001-04-17,2018-10-18,6900.4,4150,1562
387,1975-11-01,2019-10-02,6925.0,5845,3584
388,1987-11-29,1997-12-09,513.6,5673,34
389,1981-07-27,2005-01-01,9695.0,5966,67
390,1996-05-31,1999-05-19,7733.8,6424,4559
391,1984-04-18,1999-10-05,7034.9,4669,1078
392,1972-02-18,1982-05-12,5942.1,6280,194
393,1975-03-13,2016-06-27,3876.0,6242,807
394,1992-03-04,2021-10-21,1021.9,4734,2531
395,1971-09-08,2017-11-21,1880.9,5211,5054
396,2015-12-17,2021-11-03,9359.4,4569,4798
397,1983-04-02,1986-11-12,5588.3,5565,5093
398,1987-04-29,1991-01-10,6144.2,6764,1362
399,1970-12-15,1974-09-21,6364.4,6868,5394
400,1981-08-27,2010-07-06,2394.6,4868,4394
401,1997-09-24,2023-05-20,4556.9,4569,2960
402,1998-11-01,2009-06-26,600.2,4923,3433
403,1977-03-12,2003-07-16,626.1,4219,4965
404,1999-01-05,2002-08-07,8979.7,6890,49
405,1996-04-22,2022-07-29,5208.4,5194,2443
406,1980-03-19,2013-04-22,5097.5,4693,5569
407,1987-11-11,2007-12-15,8529.3,5393,4037
408,1971-09-29,1991-11-09,7559.0,6059,88
409,1985-08-17,2010-12-23,9464.4,4718,821
410,2005-04-16,2015-04-30,4173.6,6496,5838
411,1976-10-12,1988-06-17,6317.9,4784,4893
412,1972-02-06,2012-10-19,1882.1,6297,1598
413,1980-02-29,1987-05-24,7351.7,5287,4909
414,1973-07-24,2012-08-11,2353.6,6721,4738
415,1984-05-31,2003-04-09,7776.0,6469,565
416,1974-09-01,1982-12-13,7972.6,6186,2537
417,2011-01-22,2014-06-15,901.7,4326,2887
418,1991-09-02,2003-07-31,2780.7,6075,2562
419,1998-08-13,2000-12-24,2099.9,4622,86
420,1992-09-09,2008-01-22,1140.7,4045,5285
421,1988-01-14,2020-10-20,1569.7,5346,1634
422,1979-05-03,1994-05-16,2205.8,5828,819
423,2000-07-12,2014-06-09,9440.7,4627,689
424,1990-06-25,2013-04-26,6974.4,4334,1760
425,1980-08-24,2007-03-10,7505.5,6943,799
426,2014-02-15,2020-05-10,4097.3,6598,2934
427,2012-11-16,2022-07-21,7176.1,6172,5929
428,1973-06-16,1974-06-07,7391.1,4398,1018
429,1994-10-09,2007-04-22,3049.9,6454,2973
430,1993-12-07,2006-12-22,4017.9,5490,1407
431,1983-10-18,2001-08-28,7777.7,6006,5101
432,2001-08-17,2009-11-08,3162.7,5524,4464
433,1993-09-18,2007-11-05,1660.8,5352,4871
434,1988-01-18,1989-05-31,2476.9,6762,3316
435,1983-05-06,2021-04-19,4768.8,5038,5883
436,1983-10-25,2012-06-19,4512.8,6741,4511
437,1975-10-17,1978-02-26,774.1,5654,3818
438,1974-09-23,1997-08-20,4933.4,4525,654
439,1990-07-20,2011-02-17,2872.3,6662,5350
440,1976-02-26,1987-03-14,5690.0,5488,4427
441,1976-06-30,2013-04-25,3727.7,6208,3485
442,1970-03-13,2016-11-03,7420.6,5952,4154
443,2008-10-18,2021-11-14,2161.5,4890,1740
444,2001-06-06,2009-05-26,7067.6,4495,427
445,1983-04-26,2006-06-02,2230.0,6574,1952
446,1996-11-04,1997-08-07,6317.3,6041,2391
447,1982-11-26,2011-02-27,6224.3,4098,4130
448,1995-05-22,2014-07-13,1090.9,4347,3527
449,1975-01-09,1992-04-10,5928.1,5422,4728
450,1974-07-27,1989-05-14,5658.5,4225,1726
451,1976-05-04,2022-08-11,5769.3,5805,2151
452,1981-12-23,1990-05-29,4405.6,6984,2436
453,1971-06-27,2021-06-13,1207.9,4064,975
454,1989-08-31,2008-12-20,8524.0,6173,1910
455,1971-11-20,2008-06-23,1614.4,5751,5342
456,1989-04-15,2004-12-23,6312.1,4585,1134
457,2004-05-21,2008-12-29,4140.5,6469,1506
458,1998-01-09,2018-07-08,7139.7,4932,4049
459,1991-08-08,2013-10-20,6383.1,5661,5223
460,1975-09-13,1995-07-25,9030.8,4272,2798
461,1997-01-28,2009-12-19,7434.9,4016,468
462,1974-07-14,2019-01-11,4991.2,6882,470
463,1996-06-25,2009-08-14,4749.7,4885,4765
464,1981-08-25,1992-12-14,5578.1,4919,4582
465,1994-02-17,1997-08-22,9113.1,5203,5357
466,1974-11-03,2001-03-01,8718.1,5131,3496
467,2011-09-05,2012-06-03,9637.3,5502,1902
468,2006-06-07,2019-06-14,3849.2,4642,1547
469,1985-10-30,2016-09-10,4881.1,5256,5005
470,1992-05-20,2008-11-24,2416.0,5137,4440
471,1975-12-01,2003-12-03,3711.6,6348,5059
472,1981-05-28,2013-08-10,4069.5,5541,3210
473,1985-08-14,2003-01-21,8249.7,5914,5324
474,1984-11-11,2017-03-14,8106.2,5735,657
475,1989-06-21,2008-05-19,2713.2,6797,1279
476,2014-12-11,2015-02-14,809.2,4661,1007
477,1974-12-03,2007-06-06,8612.3,4385,4364
478,1988-05-04,2006-04-01,5729.4,6948,3637
479,1983-03-28,1997-12-13,8388.8,4434,3772
480,1985-06-18,2012-04-18,2242.5,6970,5829
481,1971-02-26,1974-03-08,7013.5,5303,3209
482,2005-08-24,2006-09-30,5166.9,6834,1296
483,1971-04-19,1983-09-24,9061.6,5904,1937
484,1973-08-25,1992-08-04,8516.8,6282,5149
485,1981-03-26,2009-01-25,2024.9,4547,1213
486,1972-08-16,2006-01-07,6615.9,6274,3649
487,1982-09-26,2020-01-05,8113.7,5521,3853
488,2009-06-17,2011-10-09,8640.6,4205,1220
489,2006-02-01,2010-07-26,3240.7,5504,5940
490,1999-07-16,2019-01-22,7386.1,6206,3218
491,1974-07-24,2014-10-08,2983.1,5455,3166
492,2010-10-30,2018-11-26,1472.9,5122,5845
493,1978-10-04,1995-02-16,4973.7,4512,4596
494,1970-04-03,1988-05-09,980.8,5455,4116
495,1973-11-26,2019-04-14,8279.7,4447,3644
496,1974-10-03,1997-08-08,1050.9,5398,531
497,1973-03-10,1978-06-06,3383.0,5300,5327
498,1989-05-07,2019-05-07,3812.4,4513,1532
499,1984-05-20,2002-07-09,2169.7,4628,4853
500,1987-05-29,2019-01-29,8661.7,4600,4033
501,1983-01-22,1986-04-21,1981.1,5975,823
502,2002-01-06,2022-03-13,6622.8,6628,4821
503,1986-04-01,2019-07-07,8516.1,4444,4303
504,1989-12-27,2016-11-25,4152.9,6494,4136
505,1975-06-09,2013-10-30,4462.7,5492,3130
506,1998-01-19,2011-06-21,7574.9,4587,5527
507,1977-08-13,2018-01-03,3792.9,6707,5346
508,2012-03-20,2019-05-19,6509.1,5514,5658
509,1991-10-21,2016-10-31,1248.4,4580,4080
510,1970-10-24,1984-09-08,4869.4,6954,107
511,1994-03-16,2002-07-11,3309.4,5204,678
512,1987-05-12,2012-05-03,7780.5,5626,5832
513,1972-12-24,1973-01-27,5145.3,6779,481
514,1978-09-24,1990-05-09,4042.8,5673,42
515,1986-11-03,1988-09-01,3466.2,5243,1025
516,2015-03-22,2019-02-26,8640.1,6785,1230
517,1992-08-26,1996-09-01,1501.8,4363,1792
518,1978-12-30,1981-11-12,4379.4,5215,1169
519,1999-07-11,2002-03-10,9950.3,4839,2587
520,1970-11-06,1998-06-11,4908.2,6218,3402
