services_id,rate_amount,service_type,rate_name,rate_category
2491,64.7,Consulting,Electricity supply,Individual tariffs
2393,61.5,Repair,Electricity supply,Individual tariffs
1821,76.7,Consulting,Electricity supply,Combined tariffs
2610,94.9,Consulting,Heating,Preferential tariffs
3879,58.3,Energy supply,Electricity supply,Preferential tariffs
3710,52.8,Servicing,Gas supply,Individual tariffs
661,90.3,Consulting,Heating,Standard tariffs
1702,72.0,Energy supply,Water supply,Economy tariffs
3594,85.7,Servicing,Electricity supply,Economy tariffs
3487,89.0,Consulting,Heating,Preferential tariffs
320,55.9,Consulting,Drainage,Preferential tariffs
3925,80.1,Repair,Gas supply,Combined tariffs
879,83.2,Servicing,Heating,Individual tariffs
3884,65.5,Servicing,Heating,Individual tariffs
1740,88.2,Consulting,Gas supply,Tariffs for industry
528,91.6,Consulting,Drainage,Preferential tariffs
29,56.8,Servicing,Gas supply,Preferential tariffs
308,73.0,Consulting,Water supply,Individual tariffs
497,56.3,Installation of equipment,Heating,Tariffs for industry
3073,91.6,Consulting,Gas supply,Preferential tariffs
827,72.9,Servicing,Gas supply,Individual tariffs
1733,83.5,Servicing,Heating,Tariffs for industry
3850,89.0,Energy supply,Heating,Economy tariffs
1720,68.9,Energy supply,Water supply,Preferential tariffs
1670,94.4,Consulting,Water supply,Standard tariffs
322,98.5,Installation of equipment,Water supply,Combined tariffs
1099,53.0,Installation of equipment,Water supply,Preferential tariffs
3048,64.6,Repair,Heating,Standard tariffs
2860,93.5,Energy supply,Gas supply,Economy tariffs
2080,85.7,Installation of equipment,Water supply,Preferential tariffs
576,76.7,Repair,Heating,Individual tariffs
616,91.0,Consulting,Gas supply,Economy tariffs
2962,78.5,Repair,Water supply,Combined tariffs
3533,96.7,Repair,Heating,Economy tariffs
3102,55.6,Consulting,Heating,Discounted rates
2085,58.3,Consulting,Gas supply,Preferential tariffs
650,59.7,Servicing,Electricity supply,Standard tariffs
3513,64.3,Repair,Gas supply,Discounted rates
1716,99.0,Energy supply,Heating,Individual tariffs
2531,99.3,Consulting,Gas supply,Preferential tariffs
987,70.3,Repair,Gas supply,Discounted rates
3961,87.0,Installation of equipment,Electricity supply,Standard tariffs
658,70.4,Energy supply,Heating,Discounted rates
1052,50.1,Consulting,Water supply,Tariffs for industry
5,54.6,Installation of equipment,Electricity supply,Standard tariffs
2828,65.5,Servicing,Gas supply,Combined tariffs
1666,66.9,Consulting,Heating,Discounted rates
3777,93.8,Repair,Drainage,Discounted rates
3038,94.0,Repair,Gas supply,Standard tariffs
1435,50.5,Energy supply,Electricity supply,Combined tariffs
2207,95.8,Repair,Gas supply,Combined tariffs
25,68.9,Installation of equipment,Water supply,Discounted rates
416,84.0,Energy supply,Water supply,Discounted rates
387,67.8,Energy supply,Drainage,Standard tariffs
3289,94.0,Installation of equipment,Electricity supply,Preferential tariffs
3511,92.5,Repair,Drainage,Combined tariffs
811,79.3,Energy supply,Gas supply,Combined tariffs
409,96.3,Consulting,Heating,Economy tariffs
1513,52.8,Energy supply,Water supply,Individual tariffs
3300,85.1,Installation of equipment,Water supply,Economy tariffs
2593,94.0,Consulting,Water supply,Individual tariffs
1367,99.0,Installation of equipment,Drainage,Combined tariffs
2051,98.5,Consulting,Electricity supply,Discounted rates
1797,71.5,Repair,Water supply,Combined tariffs
2409,92.0,Consulting,Electricity supply,Tariffs for industry
1788,93.5,Servicing,Water supply,Preferential tariffs
1070,51.2,Consulting,Gas supply,Preferential tariffs
222,77.0,Installation of equipment,Gas supply,Discounted rates
2931,78.6,Repair,Gas supply,Standard tariffs
2719,50.4,Servicing,Gas supply,Economy tariffs
944,66.9,Energy supply,Gas supply,Individual tariffs
1548,59.2,Repair,Electricity supply,Preferential tariffs
1753,58.5,Energy supply,Heating,Combined tariffs
3466,53.2,Consulting,Electricity supply,Discounted rates
2881,64.6,Repair,Electricity supply,Preferential tariffs
3593,56.5,Servicing,Drainage,Combined tariffs
1736,66.8,Installation of equipment,Water supply,Individual tariffs
953,52.2,Servicing,Gas supply,Standard tariffs
3934,71.6,Installation of equipment,Water supply,Discounted rates
1577,79.2,Consulting,Drainage,Individual tariffs
2334,57.9,Repair,Water supply,Tariffs for industry
3601,87.1,Energy supply,Heating,Tariffs for industry
3551,66.8,Consulting,Heating,Preferential tariffs
2654,84.2,Consulting,Heating,Economy tariffs
1611,84.2,Energy supply,Electricity supply,Individual tariffs
3723,57.7,Energy supply,Heating,Standard tariffs
60,82.8,Consulting,Drainage,Tariffs for industry
3102,86.3,Servicing,Water supply,Individual tariffs
2492,95.7,Repair,Gas supply,Discounted rates
3424,73.8,Servicing,Drainage,Combined tariffs
1011,96.6,Repair,Water supply,Preferential tariffs
113,99.1,Installation of equipment,Heating,Tariffs for industry
1659,58.5,Energy supply,Water supply,Preferential tariffs
202,83.5,Servicing,Heating,Standard tariffs
851,67.1,Consulting,Water supply,Preferential tariffs
845,61.1,Energy supply,Electricity supply,Preferential tariffs
682,63.1,Energy supply,Electricity supply,Individual tariffs
2580,54.4,Servicing,Water supply,Discounted rates
3570,50.9,Energy supply,Drainage,Economy tariffs
1762,73.2,Installation of equipment,Electricity supply,Standard tariffs
3524,83.0,Repair,Gas supply,Preferential tariffs
3817,86.0,Consulting,Water supply,Preferential tariffs
1854,64.6,Consulting,Drainage,Economy tariffs
171,89.5,Servicing,Electricity supply,Economy tariffs
3947,74.6,Repair,Heating,Individual tariffs
1183,66.2,Repair,Electricity supply,Individual tariffs
1295,94.3,Servicing,Water supply,Preferential tariffs
745,60.1,Consulting,Drainage,Standard tariffs
2339,85.7,Servicing,Drainage,Combined tariffs
128,91.5,Repair,Gas supply,Tariffs for industry
681,54.4,Consulting,Heating,Economy tariffs
2407,78.7,Consulting,Electricity supply,Individual tariffs
1221,71.5,Repair,Drainage,Combined tariffs
2688,88.7,Repair,Gas supply,Discounted rates
530,96.3,Energy supply,Heating,Discounted rates
987,55.7,Servicing,Drainage,Combined tariffs
3463,88.4,Installation of equipment,Water supply,Combined tariffs
351,58.5,Energy supply,Water supply,Preferential tariffs
1539,73.6,Servicing,Electricity supply,Tariffs for industry
1346,72.0,Servicing,Gas supply,Preferential tariffs
3625,75.3,Installation of equipment,Drainage,Combined tariffs
254,96.3,Repair,Electricity supply,Economy tariffs
2867,84.1,Energy supply,Drainage,Tariffs for industry
3055,55.6,Servicing,Water supply,Individual tariffs
3900,76.7,Servicing,Drainage,Standard tariffs
1413,87.2,Energy supply,Drainage,Tariffs for industry
940,61.6,Installation of equipment,Heating,Standard tariffs
345,95.3,Energy supply,Heating,Tariffs for industry
3253,93.8,Consulting,Electricity supply,Economy tariffs
360,83.4,Servicing,Water supply,Preferential tariffs
2143,62.3,Consulting,Gas supply,Preferential tariffs
2496,92.4,Installation of equipment,Electricity supply,Preferential tariffs
2488,57.2,Repair,Heating,Discounted rates
544,51.2,Servicing,Electricity supply,Economy tariffs
5,54.4,Repair,Heating,Preferential tariffs
246,54.5,Servicing,Water supply,Standard tariffs
164,75.8,Servicing,Heating,Preferential tariffs
1142,63.0,Repair,Drainage,Combined tariffs
1975,97.5,Energy supply,Electricity supply,Tariffs for industry
1081,64.9,Servicing,Gas supply,Tariffs for industry
2945,86.7,Installation of equipment,Water supply,Individual tariffs
610,65.7,Energy supply,Electricity supply,Individual tariffs
2354,63.5,Energy supply,Heating,Individual tariffs
3751,60.1,Repair,Gas supply,Preferential tariffs
1892,62.0,Repair,Electricity supply,Combined tariffs
3144,96.3,Consulting,Drainage,Economy tariffs
3582,67.8,Servicing,Drainage,Preferential tariffs
2317,53.4,Installation of equipment,Electricity supply,Individual tariffs
1695,71.4,Consulting,Heating,Tariffs for industry
3046,63.2,Installation of equipment,Heating,Standard tariffs
3997,63.5,Servicing,Water supply,Tariffs for industry
966,54.9,Consulting,Electricity supply,Economy tariffs
289,87.3,Consulting,Gas supply,Combined tariffs
818,65.8,Repair,Electricity supply,Discounted rates
3946,86.5,Consulting,Water supply,Preferential tariffs
177,73.1,Consulting,Heating,Standard tariffs
1823,66.6,Repair,Heating,Standard tariffs
2048,85.8,Installation of equipment,Gas supply,Discounted rates
1424,96.4,Repair,Gas supply,Standard tariffs
2581,93.6,Servicing,Heating,Combined tariffs
2862,60.4,Installation of equipment,Gas supply,Discounted rates
1693,64.5,Servicing,Water supply,Tariffs for industry
2250,68.0,Installation of equipment,Heating,Economy tariffs
1251,51.2,Servicing,Electricity supply,Preferential tariffs
797,99.8,Installation of equipment,Gas supply,Tariffs for industry
2227,96.8,Energy supply,Drainage,Economy tariffs
836,57.7,Consulting,Water supply,Standard tariffs
2090,77.2,Consulting,Gas supply,Tariffs for industry
3432,97.7,Installation of equipment,Electricity supply,Individual tariffs
2367,86.0,Consulting,Heating,Discounted rates
470,61.4,Repair,Electricity supply,Discounted rates
1479,65.4,Energy supply,Drainage,Standard tariffs
196,69.0,Servicing,Electricity supply,Standard tariffs
2788,86.8,Consulting,Gas supply,Tariffs for industry
1470,66.6,Repair,Electricity supply,Individual tariffs
1697,58.3,Energy supply,Heating,Preferential tariffs
3430,66.7,Servicing,Drainage,Discounted rates
2316,65.6,Repair,Drainage,Preferential tariffs
2846,85.1,Consulting,Drainage,Individual tariffs
3851,80.3,Installation of equipment,Water supply,Discounted rates
1562,68.3,Installation of equipment,Drainage,Discounted rates
345,55.2,Consulting,Water supply,Tariffs for industry
1857,98.1,Consulting,Water supply,Individual tariffs
1761,80.0,Servicing,Electricity supply,Discounted rates
2324,88.1,Repair,Water supply,Discounted rates
3341,60.4,Consulting,Drainage,Standard tariffs
3721,85.3,Installation of equipment,Electricity supply,Standard tariffs
122,75.4,Servicing,Water supply,Individual tariffs
626,50.9,Installation of equipment,Drainage,Discounted rates
1801,67.2,Energy supply,Heating,Combined tariffs
3257,89.8,Servicing,Water supply,Economy tariffs
2092,95.0,Installation of equipment,Heating,Discounted rates
3601,62.6,Repair,Electricity supply,Individual tariffs
1173,98.3,Energy supply,Water supply,Standard tariffs
2101,60.3,Energy supply,Electricity supply,Discounted rates
2599,97.9,Repair,Water supply,Standard tariffs
2661,63.7,Repair,Heating,Discounted rates
626,57.3,Consulting,Heating,Individual tariffs
449,52.4,Installation of equipment,Gas supply,Individual tariffs
2829,66.3,Consulting,Water supply,Individual tariffs
939,88.7,Energy supply,Heating,Combined tariffs
850,90.1,Consulting,Electricity supply,Preferential tariffs
3245,64.4,Repair,Heating,Tariffs for industry
2684,99.6,Installation of equipment,Water supply,Preferential tariffs
704,51.4,Consulting,Electricity supply,Standard tariffs
3495,85.8,Consulting,Heating,Standard tariffs
1168,53.8,Energy supply,Water supply,Economy tariffs
2188,68.0,Installation of equipment,Heating,Tariffs for industry
1041,87.1,Energy supply,Drainage,Individual tariffs
339,68.8,Servicing,Drainage,Tariffs for industry
1989,87.0,Repair,Drainage,Preferential tariffs
2806,86.3,Installation of equipment,Electricity supply,Discounted rates
175,95.6,Servicing,Drainage,Combined tariffs
2339,80.3,Servicing,Heating,Preferential tariffs
3020,87.3,Installation of equipment,Heating,Standard tariffs
489,54.1,Energy supply,Gas supply,Combined tariffs
1971,76.8,Installation of equipment,Water supply,Tariffs for industry
1081,59.5,Consulting,Gas supply,Preferential tariffs
2806,87.8,Installation of equipment,Heating,Tariffs for industry
2891,59.2,Repair,Water supply,Discounted rates
1654,66.8,Servicing,Water supply,Combined tariffs
3597,76.0,Servicing,Drainage,Economy tariffs
1809,90.6,Installation of equipment,Electricity supply,Discounted rates
3089,52.4,Installation of equipment,Electricity supply,Preferential tariffs
302,88.0,Consulting,Heating,Economy tariffs
2113,62.9,Energy supply,Electricity supply,Economy tariffs
2195,57.1,Consulting,Drainage,Economy tariffs
1359,92.4,Installation of equipment,Electricity supply,Economy tariffs
3019,87.4,Repair,Drainage,Combined tariffs
3714,57.6,Consulting,Water supply,Discounted rates
1225,87.7,Servicing,Heating,Individual tariffs
1684,87.5,Installation of equipment,Water supply,Combined tariffs
3122,55.7,Repair,Gas supply,Preferential tariffs
446,64.3,Consulting,Water supply,Standard tariffs
2059,90.6,Consulting,Electricity supply,Economy tariffs
2394,56.2,Installation of equipment,Water supply,Discounted rates
862,53.6,Installation of equipment,Heating,Preferential tariffs
3546,58.3,Servicing,Heating,Preferential tariffs
1454,89.3,Energy supply,Water supply,Combined tariffs
2284,55.1,Energy supply,Heating,Tariffs for industry
426,97.6,Consulting,Heating,Standard tariffs
2325,59.3,Consulting,Gas supply,Discounted rates
1215,62.0,Installation of equipment,Water supply,Discounted rates
2316,98.2,Consulting,Electricity supply,Standard tariffs
587,88.4,Consulting,Gas supply,Tariffs for industry
1423,68.0,Repair,Drainage,Individual tariffs
2072,53.2,Repair,Gas supply,Combined tariffs
437,79.8,Energy supply,Drainage,Tariffs for industry
31,55.4,Repair,Gas supply,Tariffs for industry
2235,64.5,Repair,Electricity supply,Discounted rates
1736,56.7,Repair,Heating,Standard tariffs
2194,60.1,Consulting,Drainage,Economy tariffs
939,96.5,Repair,Electricity supply,Standard tariffs
2181,55.9,Repair,Electricity supply,Tariffs for industry
3796,85.7,Energy supply,Water supply,Combined tariffs
2174,83.0,Installation of equipment,Water supply,Discounted rates
1072,56.0,Servicing,Drainage,Standard tariffs
2636,81.5,Repair,Water supply,Economy tariffs
2243,92.5,Installation of equipment,Heating,Economy tariffs
3049,95.9,Repair,Electricity supply,Economy tariffs
2816,96.1,Servicing,Drainage,Individual tariffs
2194,97.9,Repair,Gas supply,Individual tariffs
2949,69.2,Servicing,Heating,Economy tariffs
434,87.1,Installation of equipment,Heating,Economy tariffs
3341,80.7,Consulting,Heating,Economy tariffs
3431,75.5,Consulting,Heating,Economy tariffs
2964,95.2,Repair,Gas supply,Tariffs for industry
1418,81.1,Consulting,Water supply,Discounted rates
3040,85.7,Consulting,Electricity supply,Individual tariffs
2103,66.2,Installation of equipment,Gas supply,Combined tariffs
1845,73.8,Servicing,Water supply,Discounted rates
3860,75.4,Consulting,Electricity supply,Standard tariffs
3279,94.2,Energy supply,Electricity supply,Economy tariffs
1562,92.1,Repair,Gas supply,Preferential tariffs
837,77.4,Servicing,Drainage,Economy tariffs
2762,73.4,Energy supply,Drainage,Discounted rates
3707,71.0,Energy supply,Water supply,Tariffs for industry
866,73.3,Consulting,Drainage,Tariffs for industry
3381,51.8,Consulting,Drainage,Standard tariffs
104,84.7,Servicing,Heating,Combined tariffs
1298,68.5,Installation of equipment,Water supply,Combined tariffs
3938,91.5,Consulting,Gas supply,Economy tariffs
2001,98.5,Repair,Electricity supply,Discounted rates
805,74.4,Consulting,Water supply,Individual tariffs
3036,58.4,Energy supply,Heating,Discounted rates
2108,84.0,Consulting,Water supply,Individual tariffs
513,87.2,Servicing,Drainage,Individual tariffs
971,58.2,Consulting,Drainage,Standard tariffs
3775,81.3,Servicing,Water supply,Tariffs for industry
2442,92.8,Installation of equipment,Heating,Preferential tariffs
1924,53.0,Servicing,Water supply,Combined tariffs
3324,96.6,Consulting,Gas supply,Tariffs for industry
1280,56.9,Servicing,Electricity supply,Tariffs for industry
443,95.4,Servicing,Gas supply,Individual tariffs
1899,86.9,Energy supply,Water supply,Individual tariffs
2014,87.9,Servicing,Heating,Discounted rates
228,61.2,Energy supply,Drainage,Economy tariffs
2274,85.6,Servicing,Drainage,Standard tariffs
2301,52.9,Servicing,Gas supply,Preferential tariffs
2060,54.2,Energy supply,Drainage,Discounted rates
3291,97.2,Consulting,Heating,Standard tariffs
2946,73.2,Repair,Heating,Tariffs for industry
3643,92.8,Servicing,Gas supply,Individual tariffs
3340,79.7,Consulting,Heating,Preferential tariffs
2637,58.9,Installation of equipment,Water supply,Standard tariffs
3024,77.3,Consulting,Water supply,Discounted rates
683,82.9,Installation of equipment,Drainage,Preferential tariffs
3807,88.3,Energy supply,Water supply,Combined tariffs
2268,79.7,Consulting,Electricity supply,Discounted rates
3246,89.6,Consulting,Heating,Standard tariffs
3465,75.9,Consulting,Drainage,Tariffs for industry
1024,92.7,Repair,Electricity supply,Individual tariffs
2960,84.0,Installation of equipment,Heating,Individual tariffs
94,77.8,Repair,Water supply,Tariffs for industry
2822,95.5,Repair,Heating,Tariffs for industry
322,89.4,Energy supply,Water supply,Combined tariffs
2052,75.5,Installation of equipment,Gas supply,Individual tariffs
1885,69.3,Installation of equipment,Gas supply,Combined tariffs
2663,53.4,Servicing,Electricity supply,Individual tariffs
3211,92.4,Repair,Heating,Tariffs for industry
1803,90.7,Installation of equipment,Water supply,Preferential tariffs
253,72.8,Consulting,Electricity supply,Tariffs for industry
2214,82.2,Repair,Water supply,Standard tariffs
312,90.5,Energy supply,Water supply,Preferential tariffs
3306,86.7,Energy supply,Drainage,Combined tariffs
8,81.5,Energy supply,Drainage,Combined tariffs
100,79.4,Servicing,Heating,Combined tariffs
1666,87.9,Energy supply,Gas supply,Standard tariffs
902,83.1,Energy supply,Water supply,Individual tariffs
2438,60.8,Repair,Electricity supply,Individual tariffs
3050,61.3,Consulting,Electricity supply,Economy tariffs
2330,70.3,Installation of equipment,Gas supply,Discounted rates
1333,99.3,Installation of equipment,Heating,Combined tariffs
2303,92.2,Installation of equipment,Drainage,Discounted rates
3034,56.8,Servicing,Water supply,Individual tariffs
1936,89.5,Repair,Electricity supply,Preferential tariffs
3,89.9,Repair,Heating,Combined tariffs
2618,87.1,Consulting,Water supply,Discounted rates
2490,51.9,Consulting,Drainage,Standard tariffs
3278,99.8,Repair,Drainage,Discounted rates
78,89.9,Installation of equipment,Heating,Discounted rates
1641,77.4,Servicing,Gas supply,Combined tariffs
3827,81.4,Servicing,Electricity supply,Economy tariffs
2048,65.0,Servicing,Heating,Economy tariffs
3558,55.5,Consulting,Heating,Individual tariffs
2794,97.9,Energy supply,Water supply,Discounted rates
3685,83.9,Servicing,Drainage,Discounted rates
2109,86.0,Consulting,Water supply,Economy tariffs
1641,81.9,Energy supply,Electricity supply,Tariffs for industry
164,57.2,Servicing,Electricity supply,Combined tariffs
3390,70.0,Installation of equipment,Drainage,Combined tariffs
1491,73.8,Installation of equipment,Electricity supply,Discounted rates
679,52.8,Repair,Drainage,Preferential tariffs
1631,59.0,Repair,Electricity supply,Tariffs for industry
3103,86.1,Energy supply,Drainage,Individual tariffs
3812,67.8,Energy supply,Water supply,Combined tariffs
1839,53.5,Installation of equipment,Gas supply,Individual tariffs
1718,64.9,Consulting,Gas supply,Tariffs for industry
1119,95.6,Installation of equipment,Electricity supply,Preferential tariffs
1120,99.5,Servicing,Drainage,Discounted rates
588,82.5,Repair,Drainage,Preferential tariffs
1408,71.8,Servicing,Heating,Discounted rates
1164,55.5,Installation of equipment,Drainage,Discounted rates
1954,97.7,Repair,Drainage,Tariffs for industry
1851,59.7,Energy supply,Gas supply,Combined tariffs
1650,72.9,Servicing,Drainage,Preferential tariffs
1066,70.5,Servicing,Drainage,Combined tariffs
2597,74.3,Repair,Electricity supply,Individual tariffs
3988,81.9,Installation of equipment,Gas supply,Discounted rates
2511,63.8,Energy supply,Water supply,Economy tariffs
2169,51.9,Repair,Heating,Economy tariffs
1351,68.0,Energy supply,Water supply,Economy tariffs
2729,64.9,Repair,Heating,Combined tariffs
2302,94.4,Installation of equipment,Gas supply,Discounted rates
3359,80.6,Servicing,Heating,Discounted rates
2618,53.8,Installation of equipment,Electricity supply,Economy tariffs
1610,55.9,Installation of equipment,Drainage,Economy tariffs
3268,61.0,Servicing,Water supply,Combined tariffs
1180,86.9,Servicing,Heating,Combined tariffs
1783,65.8,Energy supply,Heating,Tariffs for industry
3499,97.5,Servicing,Gas supply,Combined tariffs
56,62.7,Installation of equipment,Drainage,Preferential tariffs
1548,93.1,Repair,Electricity supply,Tariffs for industry
205,79.7,Repair,Gas supply,Standard tariffs
829,65.0,Energy supply,Drainage,Combined tariffs
1602,57.5,Servicing,Electricity supply,Economy tariffs
