consultant_id,consumer_id,utility_id,consumption_volume,sum
308,6516,6516,6371.8,24596.69
2514,4249,5144,8632.31,32267.16
1643,6593,6329,7512.25,12920.54
4338,4041,6249,1251.39,24040.87
5882,6923,3094,2217.11,25032.3
3768,4509,5191,3353.89,43532.75
4548,5688,4053,2306.88,12277.75
730,6286,3349,2004.21,31062.16
5790,5587,1762,3100.34,33669.98
3932,4241,6238,4615.75,38811.4
3923,6460,6161,8031.51,60374.37
1091,6675,2573,5854.07,46773.84
1924,6930,2448,3726.86,57748.98
4685,4232,6263,418.83,33253.16
4900,6322,6599,1889.94,5359.28
2961,4938,6058,5888.21,55499.67
5345,4661,2490,8300.58,66743.95
4905,5695,4708,268.16,14207.82
3051,5342,3566,2180.57,45453.2
4524,5004,6962,7001.46,72132.53
3387,5901,1611,817.53,47390.19
4534,6241,793,5995.82,65850.29
4022,4283,6730,4520.99,41013.6
3430,6139,2938,2512.16,16803.11
4499,5868,149,3167.49,73616.79
2001,6554,3604,9580.16,54997.63
5869,5420,3059,5288.32,19109.74
1630,6080,1699,4045.28,29352.93
2301,4481,4392,7962.75,5206.26
4377,5234,3468,8148.33,4696.32
4522,4493,1716,5149.61,4447.77
772,4906,4762,5422.75,75439.68
5866,4894,2400,9902.22,2525.06
3565,6029,6815,2162.36,21151.37
5821,4441,5570,83.18,46736.36
429,4063,5557,9538.29,46841.04
4860,6177,3453,4651.39,41949.65
2379,5354,1711,1226.32,29542.4
4217,6631,5719,5227.73,41988.34
4955,4867,2667,4755.93,5011.79
2243,5629,255,372.42,49319.03
1111,6610,609,5869.4,58005.6
2871,4488,5700,6705.94,34564.36
358,5015,6779,2230.55,57979.24
4232,4713,1297,1346.64,26641.76
2682,4313,246,2693.01,48134.57
5834,4640,3340,7667.82,10674.99
5310,6824,2919,4683.89,76413.86
694,6923,2853,1152.19,79638.56
1577,5478,4343,2345.55,22010.16
5187,6380,666,8152.25,73876.95
5925,6006,508,2112.45,11040.6
4789,5756,6080,6362.52,19769.11
3717,6419,6484,8116.53,29382.97
225,5271,5159,8130.25,4178.61
3098,5609,2699,5062.06,68763.42
5161,5194,5465,6994.71,41571.45
2567,5649,3779,8307.98,62369.68
3033,4447,640,4328.0,74586.68
107,5674,6641,8774.87,68899.97
1601,4366,5130,5368.93,59456.34
5546,5510,2156,6328.1,60481.8
5135,5352,5220,4846.64,27200.79
2305,4813,676,8855.85,63443.15
5735,5033,653,4642.77,78796.46
2346,4773,2624,1228.34,15971.33
392,6745,3396,367.64,53486.31
5730,4597,5705,7996.79,14832.37
208,4455,1798,2462.56,30949.89
767,4015,3484,2432.55,50218.23
4385,5756,6638,2315.99,1427.13
4972,5084,4945,8844.95,8489.04
4500,6774,6203,8096.04,53239.65
3010,4165,6997,4848.34,48389.76
3659,4528,4904,8954.89,68454.94
3219,6794,5452,4772.13,17874.55
3824,4750,1409,767.91,28089.66
2649,6258,2933,3769.74,34871.41
4272,4450,6321,3853.69,20611.51
3399,6635,4224,1029.38,48052.54
345,5934,5448,9185.39,34799.27
133,6197,3055,4533.15,52808.88
2971,6473,187,2110.63,73669.42
1448,5073,167,8689.89,21311.69
2975,5757,5573,9672.86,43925.85
231,4195,966,572.14,50069.55
4766,4381,1856,2483.03,2603.93
1444,5982,3904,8324.52,40229.55
1803,5124,894,4703.7,75721.66
5503,4311,2700,563.81,18233.0
682,6912,1336,3536.38,28546.44
1764,6624,5749,2471.46,42675.35
2660,5112,4149,2328.36,71433.73
5277,4141,6708,2920.23,33737.17
339,6367,2474,3185.36,61218.25
4785,5710,5344,9267.5,33234.28
2678,4074,2778,6445.71,36357.57
1003,4692,161,255.85,77679.13
3330,6579,6682,3231.89,42925.3
904,4943,3982,327.0,17413.15
3257,4023,373,8431.89,31803.57
739,4533,4532,8218.79,18689.83
1048,6517,4753,8105.07,43431.88
3322,4318,1482,9762.71,9949.48
4543,6228,2089,8921.45,62356.79
5959,5385,496,4184.64,18307.61
5640,4768,3811,649.13,53567.41
558,4448,4423,1100.83,75811.28
2517,6445,4261,5202.38,77635.71
2643,5394,3172,3277.14,32142.89
2967,4275,4027,1629.31,3655.95
3364,5433,6970,2959.47,45473.79
4334,6159,5086,9860.42,21381.67
886,4463,1237,1027.95,57305.75
2173,4027,2517,6837.95,69507.87
4023,4008,4527,7103.97,15877.87
1777,4881,4732,3177.49,26314.45
3553,6217,1341,5000.35,79564.95
191,6525,5774,9725.62,69724.82
4823,5435,103,4223.11,24392.65
2615,6265,4810,6842.49,71309.57
2185,4755,3742,9421.16,12206.24
4506,4052,4910,4993.66,21277.14
668,6857,509,1089.62,28378.78
1781,4752,989,1336.16,71066.86
2612,5864,1966,2360.8,2088.3
2959,4362,5069,6185.31,17156.5
5381,4640,465,6700.09,69930.32
3247,6754,6819,9715.6,450.14
4692,5865,6152,5047.18,55912.07
4032,5688,1958,921.03,14805.47
2825,4197,5234,5876.16,68753.26
1910,6825,6383,2290.69,48613.08
1,4037,3300,874.2,77548.63
1778,6798,4023,6520.29,75884.1
5895,6992,269,1517.79,41578.9
4034,6334,3830,2549.18,47663.46
2046,5100,4606,7368.74,74718.98
4793,4736,5510,9718.48,44525.44
5390,5649,3799,130.37,77887.29
2487,4994,2778,3579.48,44900.7
5221,4237,1912,8507.05,13580.38
2383,4192,3427,2557.04,37163.88
5331,5264,2213,4556.41,22608.31
2443,5299,5495,6796.82,71366.75
2260,6638,5312,5687.32,17527.22
3329,6960,1938,6731.26,47270.01
1554,4438,5903,1699.91,37299.54
5227,4352,4300,2594.28,75358.66
819,5384,3770,5336.29,72838.75
1972,6333,929,4598.99,73630.73
3925,6381,1586,3082.52,32374.36
5877,4661,6973,9261.71,28132.62
3781,4005,5280,3372.98,32032.88
4506,4309,880,2126.32,35656.03
3963,6838,6274,3401.17,42149.05
3234,5480,3389,9102.54,18032.08
2788,4623,3679,314.23,44224.94
289,6876,4111,4621.14,42734.65
3826,6022,785,973.87,12049.57
3970,6170,2815,9197.88,67008.16
4829,6752,1684,3561.67,76287.99
5297,4014,6558,1343.44,33319.86
1160,4237,827,8755.44,23759.39
5285,6711,519,6295.58,76215.46
4050,6740,3396,9444.83,32263.78
1670,5565,1770,5185.04,7475.5
5516,5166,2272,3221.81,24057.41
912,4240,6951,675.05,63461.59
4545,6489,4979,1706.51,70711.21
614,5749,5344,1603.88,26380.82
1423,5424,4404,3751.76,79865.12
922,4652,4396,3118.63,2181.77
104,4564,1163,9111.16,70116.47
1437,4224,5750,1857.23,43201.39
3843,4887,2672,7717.07,17602.7
5929,4515,5366,7260.12,64545.46
5607,6314,6286,64.85,57968.19
4563,5450,6969,9834.19,19853.77
5465,4495,4497,4456.11,71485.69
5250,5169,6949,2864.24,13624.51
2227,6196,1229,7819.67,40575.18
319,5952,5494,9057.84,16750.74
4415,5790,4911,7579.56,57620.82
5942,4518,7010,7269.78,7714.95
4133,4387,6091,7671.84,29938.88
1306,4386,1283,7626.15,74606.71
5613,4168,959,3442.24,52314.49
3602,6645,6685,3770.37,66151.39
2364,6560,5178,3243.67,36197.04
3861,5864,1717,2652.65,33837.15
4330,4762,1037,9047.88,78837.49
3390,4356,4786,7398.65,40962.94
4393,5787,6142,8468.41,31604.95
2991,5904,3465,6472.79,8976.27
5109,6117,5190,540.4,7602.7
4398,6157,1437,7876.41,79968.22
4311,6725,2799,1859.54,4313.61
2727,6385,1028,3053.35,66607.47
2512,4676,3474,7247.28,55992.34
5767,5931,1164,8413.0,4553.26
1072,5597,3860,2705.44,53484.84
2008,6143,4724,4905.52,77678.2
1988,5748,5403,4539.72,570.51
3742,5155,1968,2496.82,48220.24
200,4605,6251,5053.01,28625.93
4680,6057,5816,9318.75,58628.25
2351,5683,1795,1921.36,37398.95
2303,6884,1162,8835.98,33748.22
851,6725,4947,1285.97,28512.36
1748,6382,6246,1733.34,45221.34
2865,6453,2858,198.02,57291.25
3116,5153,4817,7563.14,61502.71
2116,4669,4592,775.89,70105.32
3051,5862,6611,9778.89,52859.72
1112,4366,901,5762.89,33207.57
2065,4222,802,1409.97,3525.84
997,4750,5574,1268.57,17616.52
3127,6909,3749,1311.69,48253.91
5772,6218,3844,989.85,28609.75
1419,5965,2584,1970.54,40761.82
3321,4394,3106,1695.67,45098.01
3661,5916,1065,658.04,49266.19
483,5081,5036,3480.04,25669.78
784,5631,1534,512.77,54006.52
2838,5337,3671,7550.48,68645.11
801,6473,518,699.21,21065.67
2740,6216,6889,4116.19,39325.55
3704,4667,3441,8089.14,43369.6
1822,5313,4210,1841.82,27065.92
5666,5072,4509,6149.22,10676.59
2101,6022,1111,1999.7,12354.05
2711,6979,6330,5757.79,52296.71
3780,4006,5364,6028.49,34100.64
3166,4738,3970,7856.73,62467.61
2073,6703,6328,963.89,58664.44
4736,5506,6564,2481.2,37139.33
5863,6909,1694,2031.51,11586.65
174,4381,6628,1901.32,9699.19
3717,5226,3845,1062.33,71926.77
2961,5394,5037,7047.35,45062.15
2947,5137,5379,5520.29,65206.47
3168,4643,1694,2668.59,67907.35
5749,4381,5334,7584.42,1355.33
216,4457,1602,9810.54,36044.85
1927,5846,4272,2581.18,32740.64
750,6343,6389,5446.57,48811.15
1612,5604,4496,4712.06,17082.28
3564,6379,5104,4439.98,68635.96
537,6032,3801,7707.3,597.28
2988,4299,1197,3970.54,43813.45
1329,6177,3847,4747.29,59525.31
2703,5217,2746,3963.58,8464.84
4578,5249,4442,6584.83,25301.2
3547,5067,3330,9393.94,76270.19
1182,4035,1895,2397.37,60930.07
4661,4423,1574,635.37,43053.44
1963,6610,2923,3616.92,1163.59
5824,5423,33,1454.18,29873.62
3535,6965,4012,3358.36,10336.78
97,6379,539,2606.59,8372.03
1172,5551,2489,520.45,71414.79
5717,5404,5522,4487.34,74500.03
5290,5271,5607,4893.07,54055.79
5334,5338,6578,3083.95,51011.0
5085,5803,2785,1574.42,6245.95
1694,4193,1011,8961.01,2410.45
2679,6167,4446,7296.25,32233.07
491,5950,6077,7586.41,47877.98
2761,5553,27,654.76,22079.96
2810,6321,2702,8761.58,78660.14
1435,4737,2976,5649.84,71490.19
3184,4997,5129,4186.9,16656.46
2710,5007,2649,1613.17,48258.71
449,6491,2329,5769.02,1239.35
3069,6206,5632,4997.42,27921.55
45,5439,6574,5487.57,30183.63
5544,6098,3090,3758.14,16263.65
746,5073,713,9334.27,61966.53
1766,4918,6450,8691.91,22311.28
586,4398,3619,5820.92,48721.45
1644,4922,2588,591.39,66471.32
1287,5492,726,9011.38,51181.06
4066,4192,6213,1488.19,55564.37
4666,6493,3440,254.06,10449.09
2568,5911,6048,540.93,78512.6
258,5214,2372,8599.47,28376.04
683,5113,6061,8187.1,61023.27
941,6407,105,9147.07,52039.24
1259,5092,5842,1009.28,64380.16
777,4267,4749,2650.14,15437.59
4391,4547,645,7628.82,7920.32
452,4365,3408,9020.48,74037.59
1408,6530,5321,3848.21,16035.27
704,6905,3272,8860.22,46383.8
4279,6195,1194,9517.98,1049.74
2368,5934,2901,904.27,59866.68
5893,5669,4492,3405.42,39668.29
1156,4429,2592,798.25,71280.42
1776,6421,6514,2023.27,65663.59
1118,4375,3821,6854.86,27006.78
4521,6136,5877,1089.84,24643.09
944,4973,2700,6119.89,74942.08
5852,6084,952,9728.82,34859.75
4287,4403,7018,771.94,55685.56
5722,5932,1095,7699.34,77769.66
2592,5782,1026,3278.85,42209.58
1626,5281,2011,7682.87,45269.63
4401,4874,6919,4443.46,58137.47
2371,6319,6770,4514.81,47908.19
989,4091,5709,7378.54,6982.38
1705,5675,2437,1805.5,11203.27
4932,5060,4609,6392.14,41594.56
3011,5696,5566,1388.05,2944.9
1994,5899,2361,1951.54,6577.66
4806,4853,5309,4317.19,57110.28
2089,5413,5900,4953.37,53598.89
4010,4539,3651,2893.04,13615.17
980,6085,3387,4429.03,22659.33
794,6693,1696,5955.11,10208.26
5123,4093,5057,5893.15,52748.3
934,5597,6638,346.47,43268.96
4765,4105,485,812.75,21307.09
5871,5877,3703,5979.15,72773.44
5578,4769,107,9805.14,43416.5
2485,6027,1787,638.89,74319.62
2742,4502,6238,960.64,64979.65
812,4251,4697,2693.07,69233.55
4382,6835,1555,1050.4,14893.36
887,4315,3634,406.35,38768.93
3792,6960,1696,8861.62,77704.7
1474,5433,3702,2809.79,1462.49
2719,4480,92,7007.25,69695.63
552,5976,3229,7391.33,45801.68
2626,6327,3092,5320.01,54475.56
2204,6462,314,1446.1,37687.71
3989,4163,3088,2596.94,66549.71
5740,5085,228,8022.32,47824.78
1708,4423,4436,4176.67,64574.33
1650,6289,2853,5932.75,2825.67
5659,5390,4879,291.81,8294.34
4952,6886,5654,973.9,48882.62
5161,5621,903,5194.88,1507.94
2696,4257,2330,9727.18,10159.83
2046,4525,6843,5023.12,13166.12
4829,6494,4001,8838.93,21001.91
3836,4064,33,8677.35,23453.13
4995,4125,2524,5041.65,898.37
3089,5337,3470,1460.2,69035.28
320,4008,7020,5560.0,32772.19
899,4620,4922,2976.02,48004.28
2748,6270,1351,5079.88,39797.65
788,5859,3479,2417.14,60689.48
5808,5561,5864,8113.39,25525.43
4645,4669,5686,3468.17,44611.32
1013,4596,6831,7661.63,37110.93
2493,6092,6508,4845.34,71491.1
431,4283,5929,4308.65,31139.98
3309,4353,696,551.54,12101.53
5645,4741,4745,8456.23,13058.57
1258,5572,6699,4160.59,24602.48
5025,4372,1107,5671.99,26286.16
554,5313,6386,2853.48,1221.34
1808,4342,400,5895.5,43260.55
2975,6510,591,9827.98,52918.02
5826,4163,3017,8207.63,14329.37
5935,5316,5635,8967.85,38139.2
1747,4611,4527,9795.04,75763.07
3751,6560,5302,8843.87,13168.81
165,4477,6985,5420.43,77846.64
3125,4690,1572,8760.94,13583.57
3158,6262,2458,5425.54,26989.78
4911,6755,1158,9517.5,33471.47
1254,6938,5938,8089.16,46106.61
200,5341,2933,4700.63,32497.08
1703,4207,6457,904.32,33681.62
1892,5837,5604,8539.87,2365.68
5496,6019,3199,9918.96,42641.15
3227,5172,5245,7003.89,56164.26
1989,4704,3983,3346.86,39894.94
2788,6277,4484,2785.5,70567.78
2746,5037,5534,5421.41,1863.53
1081,6168,1005,9208.85,37848.72
965,6578,4513,6883.53,32206.21
3328,5745,1746,3322.35,70629.6
3367,4267,4176,5106.59,23462.82
3591,5383,1941,353.45,79645.52
2024,4160,5729,2175.43,67925.21
720,5919,6460,3301.01,48186.34
3607,6753,2365,7448.36,54504.57
1996,6447,6631,5279.6,62113.49
5338,5088,3169,8946.84,39241.39
2107,6168,392,2765.78,32911.46
2113,5741,421,145.77,26790.82
5555,5221,5305,5769.22,32101.21
5538,6676,3205,8112.38,16253.08
176,4405,5019,5067.24,69727.92
4823,5911,2682,8491.67,33841.07
1263,6950,836,8997.27,63465.87
125,5446,530,2355.61,31586.55
1863,4683,1815,7833.17,30182.96
2207,4357,5926,543.22,52980.6
1074,6217,1194,2134.39,75544.53
1461,6346,1241,2070.82,45855.08
4207,6374,2546,6128.31,19813.56
5134,6993,1062,1100.56,60946.61
5530,6602,1618,8360.93,21584.95
5117,5574,3754,6692.95,54825.63
2621,6511,6391,4223.78,42348.78
479,5824,2640,7419.95,72718.12
3927,6140,1608,6496.21,2752.38
2303,5683,710,3059.85,14642.99
181,6668,2505,5745.16,8012.44
1620,4306,6007,4598.16,59546.11
3205,5244,6306,448.28,8379.02
2297,6963,2139,4031.23,46938.29
5249,6445,694,5124.38,28256.64
667,6615,3035,6727.11,5262.89
408,4255,2863,4275.06,5374.98
5672,4584,6798,8562.79,40445.52
2133,4781,3811,5975.23,21547.65
2514,6883,1765,518.85,75167.91
5831,5501,479,8974.14,53317.72
4665,5479,7002,172.03,16986.24
5550,5936,3436,6214.66,57979.45
1105,5867,3617,2059.66,8066.65
2588,4006,3631,355.81,55670.22
3586,4330,962,4889.82,54860.98
5130,4464,1889,4429.11,17011.73
3412,6932,6597,2308.67,72295.05
270,6250,6143,9333.33,55852.28
5588,6122,2476,3433.55,58426.78
5262,4693,5959,8897.22,47805.09
1078,5220,1639,4624.78,46680.69
1179,4334,2224,9030.96,72650.86
2659,4474,1781,7050.7,22396.45
4069,6199,6051,7487.81,6278.51
320,4975,525,957.71,60433.37
3775,4852,1646,3779.59,12083.23
4951,4643,1044,5414.2,39636.5
2915,5448,329,3712.77,12022.84
3411,4805,3567,3816.51,38363.94
3896,4095,1163,8733.38,40151.81
5468,4615,1966,1021.83,21287.99
2464,4205,2607,6615.52,28291.72
3038,6368,761,6597.2,49215.01
5815,4587,6629,853.71,6855.16
1023,6448,97,7054.93,28096.59
1481,6064,6802,5120.27,55952.46
2048,6002,5629,3392.81,67148.06
273,6926,1834,7045.84,72392.96
203,6173,5621,4458.4,46425.81
2728,6791,6122,6636.92,32487.21
1850,6231,2677,3963.7,43457.32
1926,4511,1781,4651.4,30181.03
4093,6599,1602,5771.92,50226.11
80,6186,1217,365.99,4519.84
4770,6402,2626,9005.68,43369.11
2486,5592,6816,3735.66,65746.29
5220,4201,6419,5282.76,67313.11
2232,6273,2702,4090.28,43135.52
3688,4785,4658,3597.68,3467.65
3751,6702,4467,1374.37,14793.95
359,6794,6474,4877.94,56224.56
5146,6962,2437,9102.56,71215.47
4139,4382,2760,4269.76,72269.77
3108,4267,1468,6251.66,70480.37
238,6246,6522,8285.53,11160.37
1281,5272,5386,7847.62,26422.13
2863,5421,4556,7593.2,46016.16
666,5847,6598,841.29,22661.61
4908,5887,519,6726.55,21014.21
3286,6267,2779,9363.65,9406.94
3713,4491,543,4520.8,25620.18
5695,4558,816,688.75,10904.97
5969,6639,805,5311.88,19701.23
562,4722,860,8616.8,77468.91
1927,6148,2885,1980.42,64441.84
3834,6389,5425,7608.21,64251.98
3510,4834,6851,8202.72,17318.72
2373,4088,487,4990.79,4296.71
1231,4619,5840,7382.46,76715.67
3167,5592,1194,5675.81,64304.15
2886,4936,5660,3285.87,64585.83
780,6580,2080,9856.21,8192.52
2720,4871,4253,6311.62,16893.94
2498,4587,5264,7589.17,22102.98
1338,4485,3712,3288.51,55324.07
3809,4752,3729,4277.59,31448.84
3119,4864,3609,8871.75,38154.87
5165,5801,254,89.46,11010.33
5469,6352,4965,4889.65,11487.72
4644,4175,4894,61.23,59684.56
2142,4346,6922,2003.73,18726.23
4890,5252,1873,5461.69,61948.26
5800,4810,4044,1420.11,37180.65
4696,6152,2302,2745.71,25585.45
4123,5202,5103,4061.27,66777.57
2194,4698,6989,9114.04,49331.89
1996,6960,2656,1505.59,487.81
5896,6980,485,1294.29,43075.92
4164,4150,6206,1098.43,46535.3
2838,4239,4310,7080.04,3078.14
4621,4032,1513,1176.62,41826.72
2015,6206,4216,2736.14,53571.74
3914,6501,264,6888.83,75285.79
5226,5404,6118,2393.16,9460.37
5153,5098,3151,9969.91,17736.72
2704,5327,2273,6029.84,52257.76
2234,6277,442,5940.9,33781.67
3159,5506,3844,4372.57,54426.03
2307,6382,4743,9514.51,72636.36
5178,4051,837,6621.61,4547.48
5402,5873,2372,5000.41,15740.66
3912,5511,6104,4742.92,31141.9
2149,6524,5217,2005.8,64205.73
2448,5500,1160,7547.61,808.36
961,4475,3867,1890.29,11247.2
134,5956,3514,2140.61,17605.98
4227,6268,2212,5019.32,510.34
4168,6797,2613,1165.76,10244.25
4768,5499,1790,6184.73,4276.45
567,4011,5244,8665.16,65022.73
1828,4529,5420,729.18,73387.33
1940,5091,6740,8668.11,66223.12
2148,5870,5187,8334.57,3196.03
4447,5195,4858,4565.73,34762.23
3806,4974,455,6342.94,65717.36
3167,6446,3565,2427.0,58006.98
722,6673,3959,449.14,40962.78
1962,4347,6955,4331.85,61406.34
2074,4596,2316,3460.24,36664.06
1739,6867,5806,284.09,19309.25
2621,6792,2338,5116.86,49293.4
5312,5999,2464,6264.8,57131.93
2077,5096,1670,2924.35,65447.09
349,6815,6128,6273.74,74392.27
98,6111,223,2256.73,57630.58
5321,5903,2300,4536.89,77957.82
2679,6709,6481,6539.55,16929.95
5990,4470,4163,9877.69,76064.31
1690,4491,2210,1393.66,23893.66
645,6048,818,9011.53,50436.55
4419,4562,4961,2884.32,68630.42
4342,5010,1824,6026.17,9066.81
5725,5520,4366,9144.44,67582.18
3174,4022,6961,7716.96,51935.06
5077,5471,3638,4168.87,53432.61
5904,6439,1120,773.58,30165.04
3505,6537,3846,6150.55,46226.58
4172,6161,5368,5534.06,37009.23
3091,4573,3867,6009.73,43577.9
835,4273,3361,4446.03,79018.22
5484,6493,4951,6760.48,3377.76
127,6001,3366,5926.77,35733.89
5023,4315,765,9080.3,68697.59
1149,5987,5824,5868.28,22039.39
4231,5031,6536,2942.26,32651.42
2587,6516,1647,7412.88,31471.46
4519,6033,5219,9006.86,66075.66
5065,5103,6284,5678.48,27888.8
3290,5566,5998,4779.14,21833.31
3435,4586,4288,2501.91,48210.41
919,4649,5370,2306.12,26423.39
551,6702,1771,7626.56,71905.59
5551,5399,3648,6283.83,60118.28
5144,5018,5315,4233.78,63478.77
1808,6120,649,3859.87,41712.13
1978,6826,2859,8803.37,67769.01
1560,6606,726,5808.72,11896.74
5591,6796,871,3694.29,64906.11
3195,4885,4431,5897.36,67252.5
5152,5758,4472,8308.89,62310.95
1472,4949,5048,6419.72,15000.72
5467,5220,5091,3626.85,16920.69
4277,5439,1339,3562.45,9686.27
5964,4576,374,1161.12,23068.54
817,5256,5308,6884.13,43028.4
1012,6521,6726,2522.17,18402.6
941,5297,1632,5463.74,57812.07
2041,5260,6694,5194.18,67010.21
