consumer_id,rates_id,service_type
5829,160,Installation of equipment
5440,161,Installation of equipment
4459,162,Servicing
6834,163,Servicing
5445,164,Consulting
5581,165,Consulting
6804,166,Consulting
4373,167,Servicing
6602,168,Installation of equipment
5704,169,Repair
4179,170,Servicing
5829,171,Energy supply
6951,172,Energy supply
4870,173,Repair
4903,174,Consulting
5016,175,Consulting
4395,176,Energy supply
6211,177,Repair
6627,178,Installation of equipment
5402,179,Repair
6556,180,Consulting
5128,181,Servicing
4768,182,Installation of equipment
4014,183,Energy supply
4046,184,Installation of equipment
5876,185,Energy supply
6916,186,Energy supply
6768,187,Installation of equipment
6135,188,Repair
6535,189,Repair
6523,190,Repair
6661,191,Energy supply
4421,192,Consulting
4534,193,Servicing
5962,194,Servicing
5139,195,Repair
5190,196,Repair
6671,197,Repair
5043,198,Consulting
5641,199,Installation of equipment
6233,200,Repair
4224,201,Repair
6958,202,Energy supply
6080,203,Energy supply
5524,204,Energy supply
6177,205,Consulting
6040,206,Servicing
4159,207,Consulting
5432,208,Consulting
5146,209,Consulting
5222,210,Consulting
5427,211,Installation of equipment
5373,212,Energy supply
5361,213,Repair
6135,214,Repair
5843,215,Servicing
6817,216,Servicing
6357,217,Servicing
6729,218,Consulting
4347,219,Energy supply
4584,220,Consulting
6343,221,Repair
5282,222,Consulting
4640,223,Repair
5790,224,Servicing
5880,225,Consulting
4086,226,Repair
4949,227,Repair
5628,228,Repair
5729,229,Servicing
6025,230,Repair
4045,231,Repair
5371,232,Installation of equipment
5186,233,Energy supply
5610,234,Energy supply
5298,235,Consulting
6082,236,Servicing
6425,237,Installation of equipment
5208,238,Installation of equipment
4540,239,Energy supply
4913,240,Repair
5971,241,Energy supply
5493,242,Consulting
4846,243,Energy supply
5090,244,Installation of equipment
4812,245,Repair
4673,246,Repair
4776,247,Installation of equipment
6266,248,Energy supply
6703,249,Installation of equipment
4557,250,Energy supply
6680,251,Repair
5757,252,Repair
5172,253,Energy supply
6715,254,Consulting
6961,255,Servicing
6175,256,Repair
4951,257,Repair
6187,258,Energy supply
4896,259,Consulting
4241,260,Installation of equipment
4954,261,Energy supply
5344,262,Energy supply
5434,263,Servicing
6514,264,Servicing
4861,265,Repair
5353,266,Consulting
5258,267,Installation of equipment
4296,268,Consulting
4506,269,Consulting
4507,270,Repair
6007,271,Installation of equipment
4061,272,Consulting
4291,273,Repair
6742,274,Installation of equipment
4024,275,Consulting
4253,276,Consulting
6076,277,Consulting
4105,278,Installation of equipment
4313,279,Consulting
4521,280,Energy supply
5429,281,Installation of equipment
4413,282,Repair
5896,283,Servicing
6553,284,Repair
4247,285,Repair
6397,286,Energy supply
6845,287,Energy supply
5339,288,Energy supply
5104,289,Consulting
4243,290,Installation of equipment
5440,291,Repair
5005,292,Servicing
6734,293,Installation of equipment
4434,294,Energy supply
4608,295,Consulting
5648,296,Installation of equipment
6347,297,Energy supply
5340,298,Installation of equipment
4856,299,Installation of equipment
4411,300,Energy supply
4264,301,Repair
4566,302,Consulting
5550,303,Installation of equipment
5310,304,Consulting
6154,305,Installation of equipment
5270,306,Repair
5271,307,Repair
6883,308,Consulting
6274,309,Installation of equipment
6892,310,Energy supply
5739,311,Installation of equipment
5031,312,Servicing
5385,313,Installation of equipment
4022,314,Servicing
4319,315,Installation of equipment
5474,316,Servicing
5549,317,Servicing
5877,318,Energy supply
5685,319,Energy supply
4539,320,Installation of equipment
4879,321,Repair
6425,322,Repair
6499,323,Energy supply
6393,324,Consulting
5160,325,Energy supply
5662,326,Repair
6095,327,Servicing
4367,328,Servicing
4252,329,Installation of equipment
4593,330,Servicing
4798,331,Energy supply
6985,332,Servicing
6505,333,Servicing
6102,334,Servicing
4437,335,Consulting
5428,336,Servicing
4989,337,Energy supply
6398,338,Repair
5850,339,Repair
5508,340,Energy supply
6163,341,Servicing
4866,342,Servicing
4638,343,Installation of equipment
5257,344,Repair
4854,345,Energy supply
5824,346,Energy supply
6162,347,Repair
6001,348,Consulting
4316,349,Installation of equipment
4746,350,Energy supply
5040,351,Installation of equipment
5232,352,Servicing
4939,353,Consulting
4034,354,Repair
5726,355,Energy supply
4536,356,Installation of equipment
6731,357,Servicing
5823,358,Installation of equipment
6432,359,Consulting
4520,360,Repair
4818,361,Consulting
6080,362,Servicing
6689,363,Installation of equipment
4717,364,Installation of equipment
5151,365,Repair
6107,366,Repair
5711,367,Repair
6895,368,Repair
5863,369,Consulting
4959,370,Installation of equipment
6638,371,Installation of equipment
6025,372,Installation of equipment
4859,373,Repair
5313,374,Consulting
6377,375,Energy supply
6845,376,Installation of equipment
4843,377,Consulting
5393,378,Installation of equipment
6925,379,Servicing
6947,380,Repair
6772,381,Installation of equipment
4315,382,Energy supply
6610,383,Consulting
5542,384,Energy supply
5850,385,Installation of equipment
6324,386,Repair
5501,387,Repair
4809,388,Installation of equipment
5296,389,Energy supply
6239,390,Consulting
4588,391,Consulting
5362,392,Installation of equipment
6839,393,Installation of equipment
5901,394,Servicing
5394,395,Consulting
5141,396,Energy supply
4933,397,Installation of equipment
6195,398,Repair
5530,399,Energy supply
4481,400,Consulting
5802,401,Consulting
4555,402,Installation of equipment
6849,403,Servicing
5911,404,Repair
6538,405,Installation of equipment
4218,406,Repair
5741,407,Servicing
5086,408,Consulting
6228,409,Repair
4715,410,Repair
5806,411,Energy supply
6832,412,Installation of equipment
5827,413,Installation of equipment
6062,414,Servicing
4449,415,Energy supply
5192,416,Energy supply
4688,417,Servicing
6571,418,Servicing
6901,419,Servicing
6536,420,Repair
6226,421,Energy supply
4945,422,Servicing
4508,423,Energy supply
6410,424,Installation of equipment
4686,425,Energy supply
6170,426,Repair
5968,427,Servicing
5163,428,Repair
4566,429,Repair
5460,430,Consulting
4080,431,Servicing
4671,432,Consulting
5220,433,Servicing
5741,434,Energy supply
5661,435,Installation of equipment
5803,436,Servicing
5429,437,Consulting
6912,438,Consulting
4100,439,Energy supply
6813,440,Servicing
4801,441,Servicing
5014,442,Energy supply
6789,443,Installation of equipment
6000,444,Energy supply
5418,445,Installation of equipment
6105,446,Servicing
4267,447,Consulting
5106,448,Consulting
6020,449,Installation of equipment
6203,450,Consulting
5144,451,Energy supply
4738,452,Servicing
6118,453,Energy supply
4935,454,Consulting
4439,455,Servicing
5940,456,Servicing
4126,457,Repair
4297,458,Consulting
4842,459,Consulting
6481,460,Energy supply
5553,461,Installation of equipment
4148,462,Consulting
5988,463,Installation of equipment
4587,464,Servicing
6360,465,Servicing
6821,466,Servicing
4945,467,Consulting
6612,468,Servicing
4835,469,Energy supply
6118,470,Servicing
6734,471,Servicing
6115,472,Energy supply
6073,473,Consulting
6612,474,Installation of equipment
5690,475,Repair
4498,476,Consulting
5755,477,Servicing
6599,478,Installation of equipment
4565,479,Repair
5425,480,Consulting
5380,481,Installation of equipment
5858,482,Installation of equipment
5794,483,Energy supply
5751,484,Servicing
5473,485,Installation of equipment
4834,486,Consulting
6868,487,Energy supply
5605,488,Consulting
6833,489,Repair
4611,490,Consulting
5450,491,Installation of equipment
6335,492,Consulting
5535,493,Servicing
4225,494,Installation of equipment
5645,495,Servicing
6774,496,Servicing
4700,497,Servicing
4139,498,Consulting
6597,499,Installation of equipment
4672,500,Installation of equipment
4802,501,Consulting
5803,502,Consulting
6403,503,Energy supply
6622,504,Installation of equipment
5696,505,Servicing
4940,506,Consulting
5609,507,Servicing
4608,508,Energy supply
4534,509,Servicing
6175,510,Installation of equipment
6489,511,Energy supply
4117,512,Repair
4392,513,Consulting
6415,514,Consulting
5346,515,Repair
4974,516,Consulting
5135,517,Energy supply
4687,518,Energy supply
6207,519,Repair
4188,520,Installation of equipment
6017,521,Repair
5201,522,Repair
4041,523,Servicing
5589,524,Energy supply
4625,525,Repair
6860,526,Energy supply
4631,527,Consulting
5726,528,Servicing
6490,529,Repair
6668,530,Energy supply
6003,531,Repair
4279,532,Energy supply
4122,533,Servicing
5054,534,Energy supply
4727,535,Energy supply
5322,536,Consulting
4552,537,Energy supply
6796,538,Servicing
5604,539,Repair
6200,540,Servicing
5210,541,Consulting
4704,542,Installation of equipment
4176,543,Servicing
4523,544,Repair
4627,545,Consulting
5261,546,Consulting
5602,547,Energy supply
5431,548,Consulting
6069,549,Energy supply
4406,550,Energy supply
4107,551,Servicing
4968,552,Installation of equipment
4221,553,Energy supply
6706,554,Energy supply
6687,555,Repair
4845,556,Servicing
4663,557,Servicing
5066,558,Installation of equipment
6118,559,Installation of equipment
4720,560,Installation of equipment
5692,561,Energy supply
5622,562,Energy supply
4579,563,Installation of equipment
4077,564,Consulting
5375,565,Installation of equipment
6876,566,Installation of equipment
6955,567,Servicing
5808,568,Servicing
4085,569,Installation of equipment
5650,570,Installation of equipment
6902,571,Repair
4327,572,Servicing
5887,573,Consulting
4583,574,Installation of equipment
6079,575,Installation of equipment
5948,576,Energy supply
6981,577,Energy supply
6058,578,Energy supply
5257,579,Energy supply
5764,580,Servicing
6767,581,Consulting
5831,582,Repair
4456,583,Installation of equipment
5408,584,Servicing
6877,585,Consulting
5951,586,Servicing
6752,587,Installation of equipment
6063,588,Repair
5480,589,Repair
5333,590,Repair
5124,591,Installation of equipment
4999,592,Servicing
5629,593,Energy supply
5087,594,Energy supply
6445,595,Servicing
5142,596,Repair
4855,597,Servicing
4755,598,Servicing
4722,599,Servicing
4163,600,Energy supply
5093,601,Consulting
4772,602,Energy supply
4621,603,Consulting
4796,604,Repair
4878,605,Servicing
6195,606,Consulting
4971,607,Repair
4828,608,Repair
5059,609,Energy supply
6166,610,Installation of equipment
6120,611,Repair
4836,612,Installation of equipment
6009,613,Consulting
5007,614,Energy supply
6970,615,Repair
5469,616,Installation of equipment
5222,617,Installation of equipment
4138,618,Consulting
5520,619,Installation of equipment
5667,620,Consulting
5236,621,Repair
5159,622,Repair
5515,623,Consulting
6358,624,Repair
5964,625,Servicing
5541,626,Energy supply
5111,627,Repair
5661,628,Energy supply
5227,629,Energy supply
5888,630,Servicing
6175,631,Installation of equipment
5713,632,Repair
4914,633,Installation of equipment
4284,634,Installation of equipment
5209,635,Consulting
6907,636,Energy supply
6400,637,Servicing
6090,638,Energy supply
6685,639,Energy supply
4622,640,Installation of equipment
6686,641,Repair
6981,642,Repair
6956,643,Installation of equipment
4197,644,Installation of equipment
6623,645,Installation of equipment
5668,646,Repair
6492,647,Servicing
5746,648,Installation of equipment
5206,649,Consulting
5440,650,Energy supply
4012,651,Servicing
6537,652,Repair
4225,653,Repair
6560,654,Consulting
5623,655,Consulting
6053,656,Consulting
6119,657,Energy supply
4401,658,Installation of equipment
6322,659,Consulting
6729,660,Repair
5593,661,Servicing
6854,662,Repair
6162,663,Consulting
5850,664,Servicing
6348,665,Repair
4412,666,Installation of equipment
6306,667,Energy supply
6671,668,Energy supply
4113,669,Installation of equipment
5452,670,Servicing
6304,671,Energy supply
6984,672,Servicing
6743,673,Repair
4183,674,Energy supply
4110,675,Repair
6531,676,Repair
4717,677,Repair
5760,678,Servicing
6083,679,Consulting
6947,680,Installation of equipment
4564,681,Installation of equipment
5085,682,Energy supply
5977,683,Energy supply
4019,684,Servicing
5978,685,Energy supply
6020,686,Energy supply
4667,687,Consulting
4315,688,Servicing
5916,689,Repair
6050,690,Energy supply
6157,691,Repair
5471,692,Consulting
4663,693,Installation of equipment
6892,694,Installation of equipment
6964,695,Servicing
4965,696,Repair
5231,697,Installation of equipment
6523,698,Installation of equipment
6051,699,Energy supply
4524,700,Consulting
5435,701,Installation of equipment
5134,702,Energy supply
6234,703,Installation of equipment
6224,704,Energy supply
5702,705,Consulting
5176,706,Consulting
4618,707,Consulting
5155,708,Repair
6079,709,Installation of equipment
4203,710,Installation of equipment
6649,711,Servicing
5378,712,Consulting
4926,713,Repair
5337,714,Servicing
5085,715,Installation of equipment
5834,716,Energy supply
4058,717,Servicing
6920,718,Consulting
6079,719,Consulting
5671,720,Consulting
5247,721,Repair
5630,722,Consulting
4817,723,Installation of equipment
5296,724,Energy supply
4302,725,Repair
4928,726,Repair
6273,727,Repair
6169,728,Energy supply
5853,729,Energy supply
5412,730,Energy supply
6578,731,Installation of equipment
6058,732,Repair
6090,733,Servicing
6662,734,Consulting
5527,735,Installation of equipment
6094,736,Energy supply
6760,737,Installation of equipment
6114,738,Servicing
5555,739,Repair
4626,740,Repair
4432,741,Installation of equipment
5780,742,Servicing
5381,743,Installation of equipment
6071,744,Installation of equipment
6423,745,Repair
4700,746,Energy supply
5723,747,Energy supply
4148,748,Repair
6008,749,Installation of equipment
6503,750,Repair
5779,751,Installation of equipment
4220,752,Servicing
6387,753,Servicing
5057,754,Installation of equipment
5857,755,Consulting
6998,756,Installation of equipment
4977,757,Servicing
6748,758,Installation of equipment
5849,759,Servicing
5753,760,Installation of equipment
4712,761,Servicing
4167,762,Energy supply
4819,763,Energy supply
6038,764,Consulting
6314,765,Servicing
5362,766,Repair
6796,767,Energy supply
5401,768,Repair
5820,769,Installation of equipment
4666,770,Installation of equipment
6968,771,Energy supply
5424,772,Servicing
5390,773,Installation of equipment
5950,774,Repair
6701,775,Repair
6218,776,Consulting
5509,777,Servicing
5494,778,Installation of equipment
6234,779,Servicing
4934,780,Energy supply
4313,781,Energy supply
6547,782,Consulting
6412,783,Consulting
4997,784,Repair
5037,785,Repair
4267,786,Repair
6430,787,Servicing
5754,788,Installation of equipment
4994,789,Servicing
5148,790,Consulting
4406,791,Servicing
5070,792,Repair
5141,793,Energy supply
5647,794,Energy supply
5358,795,Consulting
6159,796,Consulting
4858,797,Consulting
5729,798,Installation of equipment
4668,799,Consulting
4805,800,Consulting
6186,801,Repair
4407,802,Consulting
5165,803,Consulting
4381,804,Energy supply
5969,805,Servicing
6633,806,Energy supply
6089,807,Servicing
4759,808,Servicing
6659,809,Installation of equipment
5052,810,Installation of equipment
5824,811,Servicing
6775,812,Consulting
6343,813,Servicing
4714,814,Servicing
4804,815,Energy supply
6419,816,Energy supply
6809,817,Servicing
5385,818,Energy supply
4627,819,Repair
6106,820,Installation of equipment
5161,821,Servicing
5683,822,Consulting
6947,823,Servicing
4414,824,Energy supply
5252,825,Servicing
6644,826,Repair
6703,827,Energy supply
6236,828,Repair
5154,829,Consulting
4169,830,Repair
4297,831,Energy supply
6375,832,Repair
4966,833,Consulting
6699,834,Servicing
4566,835,Installation of equipment
4894,836,Energy supply
6958,837,Repair
6475,838,Energy supply
6548,839,Repair
6105,840,Consulting
5974,841,Servicing
5875,842,Repair
5372,843,Servicing
4297,844,Installation of equipment
5662,845,Installation of equipment
5719,846,Servicing
6925,847,Consulting
4919,848,Installation of equipment
6375,849,Consulting
6039,850,Repair
4796,851,Repair
5762,852,Repair
6410,853,Consulting
4802,854,Consulting
5481,855,Installation of equipment
5447,856,Installation of equipment
4149,857,Energy supply
6036,858,Repair
5481,859,Energy supply
6553,860,Servicing
4547,861,Energy supply
5760,862,Energy supply
5004,863,Consulting
5402,864,Servicing
5171,865,Servicing
6254,866,Servicing
6060,867,Repair
5585,868,Installation of equipment
6262,869,Repair
6753,870,Consulting
6345,871,Servicing
4145,872,Energy supply
5728,873,Servicing
5793,874,Energy supply
5329,875,Installation of equipment
4145,876,Servicing
6717,877,Consulting
4586,878,Energy supply
6037,879,Energy supply
4615,880,Energy supply
4599,881,Installation of equipment
4413,882,Servicing
4247,883,Consulting
6223,884,Energy supply
5125,885,Energy supply
6943,886,Repair
5929,887,Installation of equipment
5226,888,Consulting
5820,889,Installation of equipment
5907,890,Installation of equipment
4066,891,Repair
4794,892,Repair
4983,893,Consulting
5056,894,Servicing
5610,895,Energy supply
4725,896,Energy supply
5545,897,Consulting
5989,898,Installation of equipment
4620,899,Energy supply
5614,900,Servicing
4906,901,Consulting
4071,902,Servicing
4603,903,Servicing
4985,904,Energy supply
6035,905,Servicing
4639,906,Consulting
5554,907,Installation of equipment
6544,908,Energy supply
4345,909,Energy supply
5124,910,Consulting
6383,911,Repair
4226,912,Servicing
6707,913,Servicing
6275,914,Servicing
6468,915,Servicing
6202,916,Repair
4328,917,Energy supply
5330,918,Repair
6466,919,Consulting
6617,920,Energy supply
6537,921,Consulting
5681,922,Energy supply
4900,923,Repair
5177,924,Repair
5504,925,Energy supply
6329,926,Consulting
5955,927,Consulting
6850,928,Repair
6660,929,Consulting
5747,930,Installation of equipment
6222,931,Installation of equipment
6132,932,Servicing
4078,933,Servicing
5862,934,Energy supply
4006,935,Servicing
5466,936,Installation of equipment
6613,937,Consulting
6960,938,Servicing
6609,939,Servicing
5520,940,Consulting
4413,941,Energy supply
4903,942,Installation of equipment
4198,943,Repair
5035,944,Repair
4454,945,Installation of equipment
6292,946,Servicing
4737,947,Installation of equipment
6630,948,Energy supply
4341,949,Consulting
5423,950,Energy supply
4710,951,Repair
4211,952,Installation of equipment
4048,953,Energy supply
6913,954,Repair
5273,955,Repair
4052,956,Repair
5725,957,Installation of equipment
6492,958,Repair
4539,959,Consulting
6971,960,Repair
4299,961,Energy supply
4010,962,Servicing
6379,963,Servicing
6084,964,Consulting
4056,965,Repair
4925,966,Consulting
4510,967,Servicing
6026,968,Installation of equipment
6801,969,Servicing
5505,970,Repair
5298,971,Repair
4974,972,Servicing
6700,973,Servicing
6752,974,Installation of equipment
5984,975,Repair
6368,976,Repair
4568,977,Consulting
6508,978,Repair
4415,979,Energy supply
5774,980,Installation of equipment
4748,981,Energy supply
4244,982,Servicing
4326,983,Repair
6160,984,Consulting
6665,985,Installation of equipment
5489,986,Energy supply
5068,987,Servicing
5593,988,Repair
6437,989,Energy supply
4184,990,Consulting
5955,991,Consulting
6311,992,Servicing
6369,993,Energy supply
6331,994,Servicing
4551,995,Servicing
4470,996,Repair
6610,997,Repair
4559,998,Energy supply
6719,999,Installation of equipment
4801,1000,Repair
5267,1001,Installation of equipment
4905,1002,Repair
6717,1003,Servicing
4649,1004,Servicing
4814,1005,Repair
4380,1006,Repair
4507,1007,Energy supply
4691,1008,Consulting
6062,1009,Repair
5654,1010,Consulting
7002,1011,Consulting
5321,1012,Consulting
5452,1013,Energy supply
5025,1014,Repair
6385,1015,Energy supply
5759,1016,Servicing
4140,1017,Installation of equipment
4296,1018,Repair
6385,1019,Installation of equipment
4495,1020,Consulting
5607,1021,Energy supply
6538,1022,Consulting
6904,1023,Installation of equipment
6706,1024,Consulting
4078,1025,Consulting
6464,1026,Installation of equipment
4289,1027,Servicing
4961,1028,Installation of equipment
5294,1029,Installation of equipment
6457,1030,Installation of equipment
4303,1031,Servicing
4288,1032,Consulting
6357,1033,Installation of equipment
5259,1034,Consulting
4185,1035,Installation of equipment
6001,1036,Consulting
6733,1037,Repair
6753,1038,Consulting
5785,1039,Repair
5263,1040,Energy supply
4265,1041,Servicing
4568,1042,Servicing
6279,1043,Servicing
4522,1044,Energy supply
5089,1045,Consulting
4513,1046,Installation of equipment
5942,1047,Servicing
5037,1048,Installation of equipment
4864,1049,Servicing
4069,1050,Installation of equipment
4965,1051,Servicing
4419,1052,Servicing
6832,1053,Consulting
6507,1054,Installation of equipment
6555,1055,Servicing
4950,1056,Repair
6055,1057,Servicing
6946,1058,Repair
6745,1059,Consulting
6905,1060,Energy supply
4806,1061,Installation of equipment
5552,1062,Energy supply
5930,1063,Consulting
6771,1064,Servicing
4731,1065,Repair
4027,1066,Servicing
6321,1067,Consulting
6001,1068,Repair
4497,1069,Energy supply
5468,1070,Energy supply
6907,1071,Repair
6343,1072,Servicing
5622,1073,Repair
5718,1074,Installation of equipment
4547,1075,Energy supply
5698,1076,Energy supply
4870,1077,Repair
6041,1078,Energy supply
5747,1079,Energy supply
5753,1080,Repair
5674,1081,Energy supply
6543,1082,Consulting
5137,1083,Energy supply
5037,1084,Repair
5717,1085,Repair
5758,1086,Energy supply
4757,1087,Energy supply
5705,1088,Consulting
6777,1089,Servicing
6722,1090,Servicing
4685,1091,Energy supply
4155,1092,Consulting
5474,1093,Repair
6255,1094,Installation of equipment
4111,1095,Servicing
4912,1096,Installation of equipment
5052,1097,Servicing
4068,1098,Installation of equipment
6797,1099,Servicing
6316,1100,Repair
4571,1101,Servicing
4322,1102,Consulting
6351,1103,Servicing
6893,1104,Consulting
5506,1105,Servicing
5975,1106,Repair
4900,1107,Consulting
5524,1108,Installation of equipment
6536,1109,Servicing
4800,1110,Consulting
6663,1111,Servicing
6958,1112,Energy supply
6522,1113,Repair
6425,1114,Installation of equipment
6088,1115,Installation of equipment
5953,1116,Consulting
5329,1117,Repair
4521,1118,Installation of equipment
6483,1119,Energy supply
5687,1120,Repair
5048,1121,Repair
5408,1122,Repair
6425,1123,Installation of equipment
6263,1124,Energy supply
5708,1125,Repair
4979,1126,Consulting
6249,1127,Repair
6876,1128,Installation of equipment
6578,1129,Consulting
5669,1130,Servicing
5971,1131,Energy supply
6065,1132,Repair
6953,1133,Consulting
6316,1134,Energy supply
5297,1135,Installation of equipment
4422,1136,Repair
5797,1137,Consulting
4410,1138,Repair
5179,1139,Consulting
4110,1140,Repair
4243,1141,Consulting
4069,1142,Servicing
5565,1143,Servicing
4705,1144,Energy supply
6296,1145,Installation of equipment
5676,1146,Energy supply
6568,1147,Consulting
5673,1148,Installation of equipment
6576,1149,Energy supply
4029,1150,Energy supply
4191,1151,Consulting
4945,1152,Repair
4070,1153,Consulting
5721,1154,Repair
6553,1155,Repair
5308,1156,Repair
5675,1157,Energy supply
6053,1158,Installation of equipment
4675,1159,Installation of equipment
6373,1160,Installation of equipment
4061,1161,Installation of equipment
5493,1162,Servicing
5837,1163,Installation of equipment
4558,1164,Servicing
6169,1165,Consulting
4084,1166,Energy supply
4813,1167,Consulting
4125,1168,Servicing
6018,1169,Consulting
4020,1170,Repair
4501,1171,Consulting
6517,1172,Installation of equipment
5334,1173,Servicing
6393,1174,Repair
4013,1175,Repair
4529,1176,Servicing
6824,1177,Consulting
4572,1178,Repair
6268,1179,Repair
5289,1180,Consulting
6919,1181,Repair
4179,1182,Installation of equipment
6549,1183,Energy supply
5101,1184,Energy supply
4570,1185,Energy supply
5808,1186,Installation of equipment
6554,1187,Consulting
6705,1188,Installation of equipment
6120,1189,Servicing
6134,1190,Servicing
6460,1191,Installation of equipment
6645,1192,Repair
5864,1193,Consulting
6601,1194,Servicing
4799,1195,Consulting
6069,1196,Repair
4221,1197,Consulting
4158,1198,Installation of equipment
5366,1199,Installation of equipment
5081,1200,Servicing
5284,1201,Installation of equipment
4524,1202,Consulting
4994,1203,Servicing
6466,1204,Consulting
5840,1205,Installation of equipment
5181,1206,Energy supply
4976,1207,Repair
4204,1208,Installation of equipment
4788,1209,Servicing
5944,1210,Installation of equipment
4103,1211,Consulting
6360,1212,Servicing
4978,1213,Installation of equipment
7001,1214,Servicing
6890,1215,Repair
4395,1216,Servicing
6064,1217,Repair
5949,1218,Energy supply
4101,1219,Repair
4459,1220,Installation of equipment
5345,1221,Repair
4314,1222,Energy supply
5292,1223,Consulting
5353,1224,Servicing
4072,1225,Consulting
4130,1226,Repair
6059,1227,Energy supply
4681,1228,Installation of equipment
6156,1229,Consulting
4581,1230,Installation of equipment
5468,1231,Energy supply
5736,1232,Servicing
6531,1233,Servicing
6810,1234,Servicing
6394,1235,Repair
6890,1236,Installation of equipment
6573,1237,Repair
5340,1238,Installation of equipment
4084,1239,Servicing
4751,1240,Servicing
6164,1241,Installation of equipment
6334,1242,Consulting
5229,1243,Servicing
6234,1244,Repair
4208,1245,Energy supply
6124,1246,Installation of equipment
6722,1247,Energy supply
6399,1248,Repair
4224,1249,Repair
6797,1250,Energy supply
4730,1251,Installation of equipment
5695,1252,Servicing
4277,1253,Installation of equipment
4963,1254,Servicing
4902,1255,Energy supply
4351,1256,Energy supply
6875,1257,Installation of equipment
6694,1258,Consulting
5585,1259,Servicing
4244,1260,Servicing
5646,1261,Installation of equipment
6282,1262,Repair
5319,1263,Installation of equipment
6944,1264,Repair
4841,1265,Consulting
5646,1266,Repair
5373,1267,Repair
4359,1268,Repair
4743,1269,Servicing
6871,1270,Energy supply
4576,1271,Installation of equipment
4495,1272,Consulting
4049,1273,Installation of equipment
4078,1274,Energy supply
4275,1275,Repair
4394,1276,Consulting
6605,1277,Energy supply
6179,1278,Repair
4301,1279,Consulting
4812,1280,Installation of equipment
4683,1281,Repair
6504,1282,Servicing
4394,1283,Servicing
5512,1284,Energy supply
6067,1285,Energy supply
5864,1286,Repair
6717,1287,Repair
4842,1288,Installation of equipment
6391,1289,Consulting
